timestamp,pattern,outcome,stream_id,event_id,value,status,source
TimeoutMatch,temp-1-1758915696359;temp-1-1758915697358;
CompletedMatch,temp-1-1758915696359;temp-1-1758915697358;
TimeoutMatch,temp-1-1758915697358;temp-1-1758915698357;
CompletedMatch,temp-1-1758915697358;temp-1-1758915698357;
TimeoutMatch,temp-1-1758915698357;temp-1-1758915699359;
CompletedMatch,temp-1-1758915698357;temp-1-1758915699359;
TimeoutMatch,temp-1-1758915699359;
CompletedMatch,temp-1-1758915699359;temp-1-1758915701361;
TimeoutMatch,temp-1-1758915701361;temp-1-1758915702357;
CompletedMatch,temp-1-1758915701361;temp-1-1758915702357;
TimeoutMatch,temp-1-1758915702357;temp-1-1758915703353;
CompletedMatch,temp-1-1758915702357;temp-1-1758915703353;
