Readable Timestamp,Unnamed: 0,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth
2016-05-26 15:00:00,0.0,Montrose Beach,1464274800,13.5,0.0,0.114,3.0,MontroseBeach201605261500,13.5,0.0,0.114,3.0
2016-05-26 16:00:00,1.0,Montrose Beach,1464278400,14.0,0.0,,3.0,MontroseBeach201605261600,14.0,0.0,0.112,3.0
2016-05-26 17:00:00,2.0,Montrose Beach,1464282000,13.4,0.0,0.105,8.0,MontroseBeach201605261700,13.4,0.0,0.105,8.0
2016-05-26 18:00:00,3.0,Montrose Beach,1464285600,13.4,0.0,0.13,7.0,MontroseBeach201605261800,13.4,0.0,0.13,7.0
2016-05-26 19:00:00,4.0,Montrose Beach,1464289200,,0.0,0.111,6.0,MontroseBeach201605261900,13.6,0.0,0.111,6.0
2016-05-26 20:00:00,5.0,Montrose Beach,1464292800,13.3,,0.096,5.0,MontroseBeach201605262000,13.3,0.0,0.096,5.0
2016-05-26 21:00:00,6.0,Montrose Beach,1464296400,14.1,0.0,0.096,5.0,MontroseBeach201605262100,14.1,0.0,0.096,5.0
2016-05-26 22:00:00,7.0,Montrose Beach,1464300000,14.2,0.0,0.102,,MontroseBeach201605262200,14.2,0.0,0.102,3.0
2016-05-26 23:00:00,8.0,Montrose Beach,1464303600,14.0,0.0,0.088,10.0,MontroseBeach201605262300,14.0,0.0,0.088,10.0
2016-05-27 00:00:00,9.0,Montrose Beach,1464307200,,0.0,0.11,7.0,MontroseBeach201605270000,13.3,0.0,0.11,7.0
2016-05-27 01:00:00,10.0,Montrose Beach,1464310800,,0.0,,7.0,MontroseBeach201605270100,13.1,0.0,0.1,7.0
2016-05-27 02:00:00,11.0,Montrose Beach,1464314400,,0.0,,6.0,MontroseBeach201605270200,13.0,0.0,0.096,6.0
2016-05-27 03:00:00,12.0,Montrose Beach,1464318000,12.5,0.0,,4.0,MontroseBeach201605270300,12.5,0.0,0.095,4.0
2016-05-27 04:00:00,13.0,Montrose Beach,1464321600,12.4,0.0,,6.0,MontroseBeach201605270400,12.4,0.0,0.086,6.0
2016-05-27 05:00:00,14.0,Montrose Beach,1464325200,12.7,0.0,,9.0,MontroseBeach201605270500,12.7,0.0,0.092,9.0
2016-05-27 06:00:00,15.0,Montrose Beach,1464328800,13.4,,0.082,9.0,MontroseBeach201605270600,13.4,0.0,0.082,9.0
2016-05-27 07:00:00,16.0,Montrose Beach,1464332400,,0.0,0.092,8.0,MontroseBeach201605270700,12.9,0.0,0.092,8.0
2016-05-27 08:00:00,17.0,Montrose Beach,1464336000,,0.0,0.111,4.0,MontroseBeach201605270800,12.0,0.0,0.111,4.0
2016-05-27 09:00:00,18.0,Montrose Beach,1464339600,,0.0,0.108,6.0,MontroseBeach201605270900,11.4,0.0,0.108,6.0
2016-05-27 10:00:00,19.0,Montrose Beach,1464343200,11.9,0.0,0.085,8.0,MontroseBeach201605271000,11.9,0.0,0.085,8.0
2016-05-27 11:00:00,20.0,Montrose Beach,1464346800,12.3,0.0,,9.0,MontroseBeach201605271100,12.3,0.0,0.088,9.0
2016-05-27 12:00:00,21.0,Montrose Beach,1464350400,,0.0,,9.0,MontroseBeach201605271200,11.8,0.0,0.096,9.0
2016-05-27 13:00:00,22.0,Montrose Beach,1464354000,11.7,0.0,0.097,9.0,MontroseBeach201605271300,11.7,0.0,0.097,9.0
2016-05-27 14:00:00,23.0,Montrose Beach,1464357600,11.4,0.0,0.145,8.0,MontroseBeach201605271400,11.4,0.0,0.145,8.0
2016-05-27 15:00:00,24.0,Montrose Beach,1464361200,11.6,,0.118,4.0,MontroseBeach201605271500,11.6,0.0,0.118,4.0
2016-05-27 16:00:00,25.0,Montrose Beach,1464364800,11.5,0.0,0.102,9.0,MontroseBeach201605271600,11.5,0.0,0.102,9.0
2016-05-27 17:00:00,26.0,Montrose Beach,1464368400,11.5,0.0,0.133,8.0,MontroseBeach201605271700,11.5,0.0,0.133,8.0
2016-05-27 18:00:00,27.0,Montrose Beach,1464372000,11.4,,0.11,7.0,MontroseBeach201605271800,11.4,0.0,0.11,7.0
2016-05-27 19:00:00,28.0,Montrose Beach,1464375600,11.3,,,6.0,MontroseBeach201605271900,11.3,0.0,0.131,6.0
2016-05-27 20:00:00,29.0,Montrose Beach,1464379200,11.3,0.0,,6.0,MontroseBeach201605272000,11.3,0.0,0.128,6.0
2016-05-27 21:00:00,30.0,Montrose Beach,1464382800,11.1,0.0,0.119,3.0,MontroseBeach201605272100,11.1,0.0,0.119,3.0
2016-05-27 22:00:00,31.0,Montrose Beach,1464386400,11.1,0.0,0.12,10.0,MontroseBeach201605272200,11.1,0.0,0.12,10.0
2016-05-27 23:00:00,32.0,Montrose Beach,1464390000,11.1,0.0,0.109,3.0,MontroseBeach201605272300,11.1,0.0,0.109,3.0
2016-05-28 00:00:00,33.0,Montrose Beach,1464393600,11.2,0.0,0.123,7.0,MontroseBeach201605280000,11.2,0.0,0.123,7.0
2016-05-28 01:00:00,34.0,Montrose Beach,1464397200,,0.0,0.104,6.0,MontroseBeach201605280100,11.3,0.0,0.104,6.0
2016-05-28 02:00:00,35.0,Montrose Beach,1464400800,,0.0,0.1,6.0,MontroseBeach201605280200,11.5,0.0,0.1,6.0
2016-05-28 03:00:00,36.0,Montrose Beach,1464404400,,0.0,0.107,5.0,MontroseBeach201605280300,11.3,0.0,0.107,5.0
2016-05-28 04:00:00,37.0,Montrose Beach,1464408000,,0.0,,5.0,MontroseBeach201605280400,11.3,0.0,0.096,5.0
