attribute,mode,Q,R,rmse,norm_rmse
Water Temperature,position,0.01,0.01,0.8018831893790486,0.24907234419796237
Water Temperature,position,0.01,0.02,0.8275432796656353,0.2570426058578441
Water Temperature,position,0.01,0.05,0.8889245235011762,0.2761081885940824
Water Temperature,position,0.01,0.1,0.9589280250179036,0.29785192440969255
Water Temperature,position,0.01,0.2,1.0466680611295156,0.3251047921138476
Water Temperature,position,0.05,0.01,0.7808548266761227,0.24254074001616308
Water Temperature,position,0.05,0.02,0.7858397976964466,0.24408911817676832
Water Temperature,position,0.05,0.05,0.8020160874874841,0.2491136235811019
Water Temperature,position,0.05,0.1,0.8280279455867321,0.2571931475810269
Water Temperature,position,0.05,0.2,0.8723550144673501,0.2709615456516606
Water Temperature,position,0.1,0.01,0.7786225536803646,0.24184737535244713
Water Temperature,position,0.1,0.02,0.780873683968803,0.24254659726589137
Water Temperature,position,0.1,0.05,0.7885812266822062,0.24494063140585112
Water Temperature,position,0.1,0.1,0.8024107725659564,0.24923621642132737
Water Temperature,position,0.1,0.2,0.8293542890275569,0.25760512213591646
Water Temperature,position,0.2,0.01,0.7776111218856423,0.24153321527097327
Water Temperature,position,0.2,0.02,0.7786418371725815,0.24185336498369817
Water Temperature,position,0.2,0.05,0.7821914695509729,0.2429559136706354
Water Temperature,position,0.2,0.1,0.7889854306230187,0.2450661808928658
Water Temperature,position,0.2,0.2,0.8037750655955818,0.2496599784699181
Water Temperature,position,0.5,0.01,0.7770487464898757,0.24135853626535486
Water Temperature,position,0.5,0.02,0.7774391213981805,0.2414797903268134
Water Temperature,position,0.5,0.05,0.7787690606230648,0.24189288176552942
Water Temperature,position,0.5,0.1,0.7814103385723956,0.24271328715528154
Water Temperature,position,0.5,0.2,0.7877572592720551,0.24468469949817767
Water Temperature,position,1.0,0.01,0.7768698949059702,0.2413029833071973
Water Temperature,position,1.0,0.02,0.7770683777028039,0.2413646339018788
Water Temperature,position,1.0,0.05,0.7777585511429135,0.24157900816350208
Water Temperature,position,1.0,0.1,0.7791823449315382,0.2420212516988253
Water Temperature,position,1.0,0.2,0.782807438181659,0.24314723923130244
Water Temperature,position,2.0,0.01,0.7767822120492401,0.24127574819993852
Water Temperature,position,2.0,0.02,0.776889569485935,0.24130909441392434
Water Temperature,position,2.0,0.05,0.7772877503987968,0.24143277309268327
Water Temperature,position,2.0,0.1,0.7781731536878498,0.24170778755325048
Water Temperature,position,2.0,0.2,0.7805848109071778,0.24245687061793614
Water Temperature,velocity,0.01,0.01,1.204340578435014,0.3740793360636778
Water Temperature,velocity,0.01,0.02,1.1867975125896613,0.36863029736029157
Water Temperature,velocity,0.01,0.05,1.1575593080177715,0.35954864026943845
Water Temperature,velocity,0.01,0.1,1.1365892707641028,0.3530351525122822
Water Temperature,velocity,0.01,0.2,1.1235904716190646,0.34899760512670813
Water Temperature,velocity,0.05,0.01,1.225417270714203,0.3806259518594047
Water Temperature,velocity,0.05,0.02,1.2193250184524151,0.3787336418915852
Water Temperature,velocity,0.05,0.05,1.2047788745394532,0.37421547489241425
Water Temperature,velocity,0.05,0.1,1.1879409890581734,0.368985471740201
Water Temperature,velocity,0.05,0.2,1.1679779182597427,0.362784757088725
Water Temperature,velocity,0.1,0.01,1.228796949677943,0.3816757114419532
Water Temperature,velocity,0.1,0.02,1.2254690976885798,0.3806420497975728
Water Temperature,velocity,0.1,0.05,1.2167986142193814,0.37794891734186536
Water Temperature,velocity,0.1,0.1,1.2054622793118526,0.3744277467431677
Water Temperature,velocity,0.1,0.2,1.1898325605435784,0.3695730113598465
Water Temperature,velocity,0.2,0.01,1.230530494058453,0.38221416637946
Water Temperature,velocity,0.2,0.02,1.2288076332944309,0.3816790298721665
Water Temperature,velocity,0.2,0.05,1.2240739608513043,0.380208707376707
Water Temperature,velocity,0.2,0.1,1.2173674531030372,0.37812560396667516
Water Temperature,velocity,0.2,0.2,1.207117793559242,0.37494196479875475
Water Temperature,velocity,0.5,0.01,1.2314944515906547,0.3825135805153751
Water Temperature,velocity,0.5,0.02,1.2308114571078919,0.38230143610438205
Water Temperature,velocity,0.5,0.05,1.2288827002841327,0.38170234637430117
Water Temperature,velocity,0.5,0.1,1.2260252627882708,0.38081479982772176
Water Temperature,velocity,0.5,0.2,1.2213896375454982,0.3793749317006262
Water Temperature,velocity,1.0,0.01,1.2317325934454917,0.38258754958072216
Water Temperature,velocity,1.0,0.02,1.2314024648012138,0.3824850085667612
Water Temperature,velocity,1.0,0.05,1.2304780690638881,0.38219788269068367
Water Temperature,velocity,1.0,0.1,1.2291338269167145,0.38178034863185706
Water Temperature,velocity,1.0,0.2,1.2270389056589415,0.3811296466898601
Water Temperature,velocity,2.0,0.01,1.2317970527372493,0.38260757123364625
