Measurement Timestamp,Beach Name,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth,structural_gap
2015-05-19 10:00:00,63rd Street Beach,11.2,1.19,0.209,3.0,63rdStreetBeach201505191000,11.2,1.19,0.209,3.0,0
2015-05-19 11:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-19 12:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-19 13:00:00,63rd Street Beach,11.3,1.22,,3.0,63rdStreetBeach201505191300,11.3,1.22,0.194,3.0,0
2015-05-19 14:00:00,63rd Street Beach,11.3,1.27,,3.0,63rdStreetBeach201505191400,11.3,1.27,0.237,3.0,0
2015-05-19 15:00:00,63rd Street Beach,11.3,1.35,,3.0,63rdStreetBeach201505191500,11.3,1.35,0.253,3.0,0
2015-05-19 16:00:00,63rd Street Beach,11.5,1.95,,3.0,63rdStreetBeach201505191600,11.5,1.95,0.246,3.0,0
2015-05-19 17:00:00,63rd Street Beach,11.7,3.82,,3.0,63rdStreetBeach201505191700,11.7,3.82,0.237,3.0,0
2015-05-19 18:00:00,63rd Street Beach,11.6,1.67,,3.0,63rdStreetBeach201505191800,11.6,1.67,0.227,3.0,0
2015-05-19 19:00:00,63rd Street Beach,11.6,1.69,,3.0,63rdStreetBeach201505191900,11.6,1.69,0.212,3.0,0
2015-05-19 20:00:00,63rd Street Beach,11.2,1.31,,3.0,63rdStreetBeach201505192000,11.2,1.31,0.193,3.0,0
2015-05-19 21:00:00,63rd Street Beach,11.1,1.23,,3.0,63rdStreetBeach201505192100,11.1,1.23,0.218,3.0,0
2015-05-19 22:00:00,63rd Street Beach,10.9,1.29,,3.0,63rdStreetBeach201505192200,10.9,1.29,0.218,3.0,0
2015-05-19 23:00:00,63rd Street Beach,10.8,1.19,,3.0,63rdStreetBeach201505192300,10.8,1.19,0.217,3.0,0
2015-05-20 00:00:00,63rd Street Beach,10.7,1.25,,3.0,63rdStreetBeach201505202400,10.7,1.25,0.226,3.0,0
2015-05-20 01:00:00,63rd Street Beach,10.5,1.53,0.237,3.0,63rdStreetBeach201505200100,10.5,1.53,0.237,3.0,0
2015-05-20 02:00:00,63rd Street Beach,10.1,2.44,0.271,3.0,63rdStreetBeach201505200200,10.1,2.44,0.271,3.0,0
2015-05-20 03:00:00,63rd Street Beach,10.3,1.63,0.286,5.0,63rdStreetBeach201505200300,10.3,1.63,0.286,5.0,0
2015-05-20 04:00:00,63rd Street Beach,10.2,1.63,0.294,4.0,63rdStreetBeach201505200400,10.2,1.63,0.294,4.0,0
2015-05-20 05:00:00,63rd Street Beach,10.1,2.25,0.292,4.0,63rdStreetBeach201505200500,10.1,2.25,0.292,4.0,0
2015-05-20 06:00:00,63rd Street Beach,10.3,1.95,0.299,4.0,63rdStreetBeach201505200600,10.3,1.95,0.299,4.0,0
2015-05-20 07:00:00,63rd Street Beach,10.4,1.68,0.293,4.0,63rdStreetBeach201505200700,10.4,1.68,0.293,4.0,0
2015-05-20 08:00:00,63rd Street Beach,10.1,2.62,0.29,3.0,63rdStreetBeach201505200800,10.1,2.62,0.29,3.0,0
2015-05-20 09:00:00,63rd Street Beach,,1.89,0.28,4.0,63rdStreetBeach201505200900,10.6,1.89,0.28,4.0,0
2015-05-20 10:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-20 11:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-20 12:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-20 13:00:00,63rd Street Beach,,2.11,0.304,4.0,63rdStreetBeach201505201300,10.9,2.11,0.304,4.0,0
2015-05-20 14:00:00,63rd Street Beach,,3.52,0.321,3.0,63rdStreetBeach201505201400,11.0,3.52,0.321,3.0,0
2015-05-20 15:00:00,63rd Street Beach,,2.52,0.315,4.0,63rdStreetBeach201505201500,10.7,2.52,0.315,4.0,0
2015-05-20 16:00:00,63rd Street Beach,,2.53,0.344,4.0,63rdStreetBeach201505201600,10.7,2.53,0.344,4.0,0
2015-05-20 17:00:00,63rd Street Beach,,2.92,0.386,4.0,63rdStreetBeach201505201700,10.8,2.92,0.386,4.0,0
2015-05-20 18:00:00,63rd Street Beach,,2.98,0.381,4.0,63rdStreetBeach201505201800,10.8,2.98,0.381,4.0,0
2015-05-20 19:00:00,63rd Street Beach,,3.12,0.362,4.0,63rdStreetBeach201505201900,10.6,3.12,0.362,4.0,0
2015-05-20 20:00:00,63rd Street Beach,,2.4,0.326,4.0,63rdStreetBeach201505202000,10.7,2.4,0.326,4.0,0
2015-05-20 21:00:00,63rd Street Beach,,2.95,0.292,5.0,63rdStreetBeach201505202100,10.7,2.95,0.292,5.0,0
2015-05-20 22:00:00,63rd Street Beach,,,,,,,,,,1
2015-05-20 23:00:00,63rd Street Beach,,2.08,0.229,3.0,63rdStreetBeach201505202300,10.7,2.08,0.229,3.0,0
