Readable Timestamp,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Water Temperature_groundtruth,Turbidity_groundtruth,Wave Height_groundtruth,Wave Period_groundtruth
2015-05-19 10:00:00,63rd Street Beach,1432029600,11.2,1.19,0.209,3.0,63rdStreetBeach201505191000,11.2,1.19,0.209,3.0
2015-05-19 11:00:00,63rd Street Beach,1432033200,11.233333333333333,1.2,0.204,3.0,63rdStreetBeach201505191100,11.233333333333333,1.2,0.204,3.0
2015-05-19 12:00:00,63rd Street Beach,1432036800,11.266666666666667,1.21,0.199,3.0,63rdStreetBeach201505191200,11.266666666666667,1.21,0.199,3.0
2015-05-19 12:00:00,Calumet Beach,1432036800,12.9,1.22,0.147,3.0,CalumetBeach201505191200,12.9,1.22,0.147,3.0
2015-05-19 12:00:00,Montrose Beach,1432036800,11.9,0.46,0.232,3.0,MontroseBeach201505191200,11.9,0.46,0.232,3.0
2015-05-19 13:00:00,Montrose Beach,1432040400,12.0,0.5,0.25,3.0,MontroseBeach201505191300,12.0,0.5,0.25,3.0
2015-05-19 13:00:00,Calumet Beach,1432040400,12.9,1.3,0.147,3.0,CalumetBeach201505191300,12.9,1.3,0.147,3.0
2015-05-19 13:00:00,63rd Street Beach,1432040400,11.3,1.22,0.194,3.0,63rdStreetBeach201505191300,11.3,1.22,0.194,3.0
2015-05-19 14:00:00,63rd Street Beach,1432044000,11.3,1.27,0.237,3.0,63rdStreetBeach201505191400,11.3,1.27,0.237,3.0
2015-05-19 14:00:00,Calumet Beach,1432044000,12.9,1.38,0.165,4.0,CalumetBeach201505191400,12.9,1.38,0.165,4.0
2015-05-19 14:00:00,Montrose Beach,1432044000,12.0,0.54,0.291,3.0,MontroseBeach201505191400,12.0,0.54,0.291,3.0
2015-05-19 15:00:00,Montrose Beach,1432047600,12.0,0.61,0.299,3.0,MontroseBeach201505191500,12.0,0.61,0.299,3.0
2015-05-19 15:00:00,Calumet Beach,1432047600,12.9,1.24,0.221,3.0,CalumetBeach201505191500,12.9,1.24,0.221,3.0
2015-05-19 15:00:00,63rd Street Beach,1432047600,11.3,1.35,0.253,3.0,63rdStreetBeach201505191500,11.3,1.35,0.253,3.0
2015-05-19 16:00:00,63rd Street Beach,1432051200,11.5,1.95,0.246,3.0,63rdStreetBeach201505191600,11.5,1.95,0.246,3.0
2015-05-19 16:00:00,Calumet Beach,1432051200,13.0,1.32,0.235,3.0,CalumetBeach201505191600,13.0,1.32,0.235,3.0
2015-05-19 16:00:00,Montrose Beach,1432051200,12.1,0.69,0.293,3.0,MontroseBeach201505191600,12.1,0.69,0.293,3.0
2015-05-19 17:00:00,Montrose Beach,1432054800,12.2,0.68,0.283,3.0,MontroseBeach201505191700,12.2,0.68,0.283,3.0
2015-05-19 17:00:00,Calumet Beach,1432054800,13.0,1.45,0.225,3.0,CalumetBeach201505191700,13.0,1.45,0.225,3.0
2015-05-19 17:00:00,63rd Street Beach,1432054800,11.7,3.82,0.237,3.0,63rdStreetBeach201505191700,11.7,3.82,0.237,3.0
2015-05-19 18:00:00,Montrose Beach,1432058400,12.3,0.67,0.267,3.0,MontroseBeach201505191800,12.3,0.67,0.267,3.0
2015-05-19 18:00:00,Calumet Beach,1432058400,13.1,1.55,0.207,3.0,CalumetBeach201505191800,13.1,1.55,0.207,3.0
2015-05-19 18:00:00,63rd Street Beach,1432058400,11.6,1.67,0.227,3.0,63rdStreetBeach201505191800,11.6,1.67,0.227,3.0
