Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Measurement ID,Readable Timestamp
Montrose Beach,1464274800.0,13.5,0.0,0.114,3.0,MontroseBeach201605261500,2016-05-26 15:00:00
Montrose Beach,1464278400.0,14.0,0.0,0.112,3.0,MontroseBeach201605261600,2016-05-26 16:00:00
Montrose Beach,1464282000.0,13.4,0.0,0.105,8.0,MontroseBeach201605261700,2016-05-26 17:00:00
Montrose Beach,1464285600.0,13.4,0.0,0.13,7.0,MontroseBeach201605261800,2016-05-26 18:00:00
Montrose Beach,1464289200.0,13.6,0.0,0.111,6.0,MontroseBeach201605261900,2016-05-26 19:00:00
Montrose Beach,1464292800.0,13.3,0.0,0.096,5.0,MontroseBeach201605262000,2016-05-26 20:00:00
Montrose Beach,1464296400.0,14.1,0.0,0.096,5.0,MontroseBeach201605262100,2016-05-26 21:00:00
Montrose Beach,1464300000.0,14.2,0.0,0.102,3.0,MontroseBeach201605262200,2016-05-26 22:00:00
Montrose Beach,1464303600.0,14.0,0.0,0.088,10.0,MontroseBeach201605262300,2016-05-26 23:00:00
Montrose Beach,1464307200.0,13.3,0.0,0.11,7.0,MontroseBeach201605272400,2016-05-27 00:00:00
Montrose Beach,1464310800.0,13.1,0.0,0.1,7.0,MontroseBeach201605270100,2016-05-27 01:00:00
Montrose Beach,1464314400.0,13.0,0.0,0.096,6.0,MontroseBeach201605270200,2016-05-27 02:00:00
Montrose Beach,1464318000.0,12.5,0.0,0.095,4.0,MontroseBeach201605270300,2016-05-27 03:00:00
Montrose Beach,1464321600.0,12.4,0.0,0.086,6.0,MontroseBeach201605270400,2016-05-27 04:00:00
Montrose Beach,1464325200.0,12.7,0.0,0.092,9.0,MontroseBeach201605270500,2016-05-27 05:00:00
Montrose Beach,1464328800.0,13.4,0.0,0.082,9.0,MontroseBeach201605270600,2016-05-27 06:00:00
Montrose Beach,1464332400.0,12.9,0.0,0.092,8.0,MontroseBeach201605270700,2016-05-27 07:00:00
Montrose Beach,1464336000.0,12.0,0.0,0.111,4.0,MontroseBeach201605270800,2016-05-27 08:00:00
Montrose Beach,1464339600.0,11.4,0.0,0.108,6.0,MontroseBeach201605270900,2016-05-27 09:00:00
Montrose Beach,1464343200.0,11.9,0.0,0.085,8.0,MontroseBeach201605271000,2016-05-27 10:00:00
Montrose Beach,1464346800.0,12.3,0.0,0.088,9.0,MontroseBeach201605271100,2016-05-27 11:00:00
Montrose Beach,1464350400.0,11.8,0.0,0.096,9.0,MontroseBeach201605271200,2016-05-27 12:00:00
Montrose Beach,1464354000.0,11.7,0.0,0.097,9.0,MontroseBeach201605271300,2016-05-27 13:00:00
Montrose Beach,1464357600.0,11.4,0.0,0.145,8.0,MontroseBeach201605271400,2016-05-27 14:00:00
Montrose Beach,1464361200.0,11.6,0.0,0.118,4.0,MontroseBeach201605271500,2016-05-27 15:00:00
Montrose Beach,1464364800.0,11.5,0.0,0.102,9.0,MontroseBeach201605271600,2016-05-27 16:00:00
Montrose Beach,1464368400.0,11.5,0.0,0.133,8.0,MontroseBeach201605271700,2016-05-27 17:00:00
Montrose Beach,1464372000.0,11.4,0.0,0.11,7.0,MontroseBeach201605271800,2016-05-27 18:00:00
Montrose Beach,1464375600.0,11.3,0.0,0.131,6.0,MontroseBeach201605271900,2016-05-27 19:00:00
Montrose Beach,1464379200.0,11.3,0.0,0.128,6.0,MontroseBeach201605272000,2016-05-27 20:00:00
Montrose Beach,1464382800.0,11.1,0.0,0.119,3.0,MontroseBeach201605272100,2016-05-27 21:00:00
Montrose Beach,1464386400.0,11.1,0.0,0.12,10.0,MontroseBeach201605272200,2016-05-27 22:00:00
Montrose Beach,1464390000.0,11.1,0.0,0.109,3.0,MontroseBeach201605272300,2016-05-27 23:00:00
Montrose Beach,1464393600.0,11.2,0.0,0.123,7.0,MontroseBeach201605282400,2016-05-28 00:00:00
Montrose Beach,1464397200.0,11.3,0.0,0.104,6.0,MontroseBeach201605280100,2016-05-28 01:00:00
Montrose Beach,1464400800.0,11.5,0.0,0.1,6.0,MontroseBeach201605280200,2016-05-28 02:00:00
Montrose Beach,1464404400.0,11.3,0.0,0.107,5.0,MontroseBeach201605280300,2016-05-28 03:00:00
Montrose Beach,1464408000.0,11.3,0.0,0.096,5.0,MontroseBeach201605280400,2016-05-28 04:00:00
Montrose Beach,1464411600.0,11.3,0.0,0.092,3.0,MontroseBeach201605280500,2016-05-28 05:00:00
Montrose Beach,1464415200.0,11.4,0.0,0.093,9.0,MontroseBeach201605280600,2016-05-28 06:00:00
Montrose Beach,1464418800.0,11.5,0.0,0.102,3.0,MontroseBeach201605280700,2016-05-28 07:00:00
Montrose Beach,1464422400.0,11.7,0.0,0.107,3.0,MontroseBeach201605280800,2016-05-28 08:00:00
Montrose Beach,1464426000.0,12.0,0.0,0.113,3.0,MontroseBeach201605280900,2016-05-28 09:00:00
Montrose Beach,1464429600.0,12.4,0.0,0.104,8.0,MontroseBeach201605281000,2016-05-28 10:00:00
Montrose Beach,1464433200.0,13.0,0.0,0.106,7.0,MontroseBeach201605281100,2016-05-28 11:00:00
Montrose Beach,1464436800.0,12.9,0.0,0.105,3.0,MontroseBeach201605281200,2016-05-28 12:00:00
Montrose Beach,1464440400.0,13.3,0.0,0.112,4.0,MontroseBeach201605281300,2016-05-28 13:00:00
Montrose Beach,1464444000.0,13.5,0.0,0.114,4.0,MontroseBeach201605281400,2016-05-28 14:00:00
Montrose Beach,1464447600.0,14.0,0.0,0.104,4.0,MontroseBeach201605281500,2016-05-28 15:00:00
Montrose Beach,1464451200.0,14.3,0.0,0.104,10.0,MontroseBeach201605281600,2016-05-28 16:00:00
Montrose Beach,1464454800.0,14.0,0.0,0.115,8.0,MontroseBeach201605281700,2016-05-28 17:00:00
Montrose Beach,1464458400.0,13.5,0.0,0.128,7.0,MontroseBeach201605281800,2016-05-28 18:00:00
Montrose Beach,1464462000.0,13.2,0.0,0.114,6.0,MontroseBeach201605281900,2016-05-28 19:00:00
Montrose Beach,1464465600.0,13.2,0.0,0.104,5.0,MontroseBeach201605282000,2016-05-28 20:00:00
Montrose Beach,1464469200.0,13.0,0.0,0.104,4.0,MontroseBeach201605282100,2016-05-28 21:00:00
Montrose Beach,1464472800.0,13.1,0.0,0.112,4.0,MontroseBeach201605282200,2016-05-28 22:00:00
Montrose Beach,1464476400.0,13.0,0.0,0.11,9.0,MontroseBeach201605282300,2016-05-28 23:00:00
Montrose Beach,1464480000.0,13.0,0.0,0.136,7.0,MontroseBeach201605292400,2016-05-29 00:00:00
Montrose Beach,1464487200.0,13.2,0.0,0.105,5.0,MontroseBeach201605290200,2016-05-29 02:00:00
Montrose Beach,1464490800.0,13.0,0.0,0.109,4.0,MontroseBeach201605290300,2016-05-29 03:00:00
Montrose Beach,1464494400.0,13.0,0.0,0.096,3.0,MontroseBeach201605290400,2016-05-29 04:00:00
Montrose Beach,1464498000.0,12.7,0.0,0.094,3.0,MontroseBeach201605290500,2016-05-29 05:00:00
Montrose Beach,1464501600.0,12.8,0.0,0.108,4.0,MontroseBeach201605290600,2016-05-29 06:00:00
Montrose Beach,1464505200.0,12.8,0.0,0.087,3.0,MontroseBeach201605290700,2016-05-29 07:00:00
Montrose Beach,1464508800.0,12.8,0.0,0.085,4.0,MontroseBeach201605290800,2016-05-29 08:00:00
Montrose Beach,1464512400.0,12.8,0.0,0.126,4.0,MontroseBeach201605290900,2016-05-29 09:00:00
Montrose Beach,1464516000.0,12.9,0.0,0.081,4.0,MontroseBeach201605291000,2016-05-29 10:00:00
Montrose Beach,1464519600.0,13.4,0.0,0.101,4.0,MontroseBeach201605291100,2016-05-29 11:00:00
Montrose Beach,1464523200.0,13.6,0.0,0.128,3.0,MontroseBeach201605291200,2016-05-29 12:00:00
Montrose Beach,1464526800.0,13.6,0.0,0.089,3.0,MontroseBeach201605291300,2016-05-29 13:00:00
Montrose Beach,1464530400.0,13.5,0.0,0.132,2.0,MontroseBeach201605291400,2016-05-29 14:00:00
Montrose Beach,1464534000.0,13.6,0.0,0.134,5.0,MontroseBeach201605291500,2016-05-29 15:00:00
Montrose Beach,1464537600.0,13.9,0.0,0.143,5.0,MontroseBeach201605291600,2016-05-29 16:00:00
Montrose Beach,1464541200.0,13.9,0.0,0.153,3.0,MontroseBeach201605291700,2016-05-29 17:00:00
Montrose Beach,1464544800.0,13.7,0.0,0.13,7.0,MontroseBeach201605291800,2016-05-29 18:00:00
Montrose Beach,1464548400.0,13.5,0.0,0.134,6.0,MontroseBeach201605291900,2016-05-29 19:00:00
Montrose Beach,1464552000.0,13.3,0.0,0.151,4.0,MontroseBeach201605292000,2016-05-29 20:00:00
Montrose Beach,1464555600.0,13.2,0.0,0.118,4.0,MontroseBeach201605292100,2016-05-29 21:00:00
Montrose Beach,1464559200.0,13.1,0.0,0.101,3.0,MontroseBeach201605292200,2016-05-29 22:00:00
Montrose Beach,1464562800.0,13.1,0.0,0.097,9.0,MontroseBeach201605292300,2016-05-29 23:00:00
Montrose Beach,1464566400.0,13.2,0.0,0.093,7.0,MontroseBeach201605302400,2016-05-30 00:00:00
Montrose Beach,1464570000.0,13.2,0.0,0.09,6.0,MontroseBeach201605300100,2016-05-30 01:00:00
Montrose Beach,1464573600.0,13.0,0.0,0.107,3.0,MontroseBeach201605300200,2016-05-30 02:00:00
Montrose Beach,1464577200.0,12.9,0.0,0.094,4.0,MontroseBeach201605300300,2016-05-30 03:00:00
Montrose Beach,1464580800.0,12.8,0.0,0.078,4.0,MontroseBeach201605300400,2016-05-30 04:00:00
Montrose Beach,1464584400.0,12.8,0.0,0.078,4.0,MontroseBeach201605300500,2016-05-30 05:00:00
Montrose Beach,1464588000.0,12.8,0.0,0.079,5.0,MontroseBeach201605300600,2016-05-30 06:00:00
Montrose Beach,1464591600.0,12.8,0.0,0.082,4.0,MontroseBeach201605300700,2016-05-30 07:00:00
Montrose Beach,1464595200.0,13.0,0.0,0.1,4.0,MontroseBeach201605300800,2016-05-30 08:00:00
