# Logger: CSVLogger | Started: Fri Sep 26 15:20:21 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,__topic__
groundtruth,temp-1,temp-1-1758914418353,1758914418.35364,1758914418.35364,1758914418.35364,float,C,15.543603368076292,,,,,groundtruth,GroundTruthStream,{'ground_truth': 15.543603368076292},groundtruth.temp-1
observed,temp-1,temp-1-1758914418353,1758914418.35364,1758914418.35364,1758914418.35364,float,C,15.543603368076292,,,,,observed,SimulatedDroppingStream,{'ground_truth': 15.543603368076292},observed.temp-1
reconstructed,temp-1,temp-1-1758914418353,1758914418.35364,1758914418.35364,1758914418.35364,float,C,15.543603368076292,15.729286561073113,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 15.543603368076292},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914419354,1758914419.354961,1758914419.354961,1758914419.354961,float,C,23.600111307330472,,,,,groundtruth,GroundTruthStream,{'ground_truth': 23.600111307330472},groundtruth.temp-1
observed,temp-1,temp-1-1758914419354,1758914419.354961,1758914419.354961,1758914419.354961,float,C,23.600111307330472,,,,,observed,SimulatedDroppingStream,{'ground_truth': 23.600111307330472},observed.temp-1
reconstructed,temp-1,temp-1-1758914419354,1758914419.354961,1758914419.354961,1758914419.354961,float,C,23.600111307330472,23.142133212145843,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 23.600111307330472},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914421355,1758914421.3550622,1758914421.3550622,1758914421.3550622,float,C,24.69145480026431,,,,,groundtruth,GroundTruthStream,{'ground_truth': 24.69145480026431},groundtruth.temp-1
observed,temp-1,temp-1-1758914420347,1758914420.347659,1758914420.354223,1758914420.347659,float,C,,,,,,missing,SimulatedDroppingStream,{},observed.temp-1
reconstructed,temp-1,temp-1-1758914420347,1758914420.347659,1758914420.354223,1758914420.347659,float,C,34.03460306438651,34.03460306438651,KalmanFilter,0.43046793304755515,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914422354,1758914422.354563,1758914422.354563,1758914422.354563,float,C,28.426520621537122,,,,,groundtruth,GroundTruthStream,{'ground_truth': 28.426520621537122},groundtruth.temp-1
observed,temp-1,temp-1-1758914421355,1758914421.3550622,1758914421.3550622,1758914421.3550622,float,C,24.69145480026431,,,,,observed,SimulatedDroppingStream,{'ground_truth': 24.69145480026431},observed.temp-1
reconstructed,temp-1,temp-1-1758914421355,1758914421.3550622,1758914421.3550622,1758914421.3550622,float,C,24.69145480026431,25.036420789336688,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 24.69145480026431},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914423354,1758914423.3545914,1758914423.3545914,1758914423.3545914,float,C,25.836078681025526,,,,,groundtruth,GroundTruthStream,{'ground_truth': 25.836078681025526},groundtruth.temp-1
observed,temp-1,temp-1-1758914422354,1758914422.354563,1758914422.354563,1758914422.354563,float,C,28.426520621537122,,,,,observed,SimulatedDroppingStream,{'ground_truth': 28.426520621537122},observed.temp-1
reconstructed,temp-1,temp-1-1758914422354,1758914422.354563,1758914422.354563,1758914422.354563,float,C,28.426520621537122,28.107746497771878,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 28.426520621537122},reconstructed.temp-1
groundtruth,temp-1,temp-1-1758914425351,1758914425.3519502,1758914425.3519502,1758914425.3519502,float,C,20.36961551261663,,,,,groundtruth,GroundTruthStream,{'ground_truth': 20.36961551261663},groundtruth.temp-1
observed,temp-1,temp-1-1758914423354,1758914423.3545914,1758914423.3545914,1758914423.3545914,float,C,25.836078681025526,,,,,observed,SimulatedDroppingStream,{'ground_truth': 25.836078681025526},observed.temp-1
