# Logger: PatternLogger | Started: Wed Oct 15 21:23:20 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 21:23:27.651,6.825,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191000_Water_Temperature]]
2025-10-15 21:23:27.663,6.837,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191200_Water_Temperature]]
2025-10-15 21:23:27.665,6.839,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-15 21:23:27.714,6.888,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191300_Water_Temperature]]
2025-10-15 21:23:27.725,6.899,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191300_Water_Temperature]]
2025-10-15 21:23:27.728,6.902,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191300_Water_Temperature]]
2025-10-15 21:23:27.776,6.950,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-15 21:23:27.777,6.951,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191400_Water_Temperature]]
2025-10-15 21:23:27.779,6.953,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191400_Water_Temperature]]
2025-10-15 21:23:27.838,7.012,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191500_Water_Temperature]]
2025-10-15 21:23:27.839,7.013,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
2025-10-15 21:23:27.840,7.014,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191500_Water_Temperature]]
2025-10-15 21:23:27.899,7.073,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191600_Water_Temperature]]
2025-10-15 21:23:27.901,7.075,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191600_Water_Temperature]]
2025-10-15 21:23:27.902,7.076,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191600_Water_Temperature]]
2025-10-15 21:23:27.963,7.137,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191700_Water_Temperature]]
2025-10-15 21:23:27.964,7.138,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191700_Water_Temperature]]
2025-10-15 21:23:27.965,7.139,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191700_Water_Temperature]]
2025-10-15 21:23:28.024,7.198,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191800_Water_Temperature]]
2025-10-15 21:23:28.025,7.199,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191800_Water_Temperature]]
2025-10-15 21:23:28.026,7.200,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191800_Water_Temperature]]
