# Started Wed Oct 15 21:30:34 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760578233.9996223,1432036800.0,float,None,12.9,source,12.67734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760578234.0143232
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760578233.9996223,1432036800.0,float,None,1.22,source,1.1942187499999999,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760578234.0143232
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760578233.9996223,1432036800.0,float,None,0.147,source,0.15321093749999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760578234.015491
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760578233.9996223,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578234.015491
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760578234.1872137,1432047600.0,float,None,12.9,source,12.928714602701273,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760578234.1882102
Calumet_Beach_Turbidity,CalumetBeach201505191500_Turbidity,None,1760578234.1872137,1432047600.0,float,None,1.24,source,1.2432048823806447,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.24},1760578234.1882102
Calumet_Beach_Wave_Height,CalumetBeach201505191500_Wave_Height,None,1760578234.1872137,1432047600.0,float,None,0.221,source,0.21975513820733095,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.221},1760578234.1892076
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,None,1760578234.1872137,1432047600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578234.1892076
Calumet_Beach_Water_Temperature,CalumetBeach201505191800_Water_Temperature,None,1760578234.3726015,1432058400.0,float,None,13.1,source,13.063090709894066,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.1},1760578234.3749185
Calumet_Beach_Turbidity,CalumetBeach201505191800_Turbidity,None,1760578234.3739126,1432058400.0,float,None,1.55,source,1.541005470890352,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.55},1760578234.3759198
Calumet_Beach_Wave_Height,CalumetBeach201505191800_Wave_Height,None,1760578234.3739126,1432058400.0,float,None,0.207,source,0.21119195683278572,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.207},1760578234.3759198
Calumet_Beach_Wave_Period,CalumetBeach201505191800_Wave_Period,None,1760578234.3739126,1432058400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578234.3759198
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191800_Water_Temperature,None,1760578234.3749185,1432058400.0,float,None,11.6,source,11.599726118065936,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.6},1760578234.3770099
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191800_Turbidity,None,1760578234.3749185,1432058400.0,float,None,1.67,source,1.6696941651736297,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.67},1760578234.3770099
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191800_Wave_Height,None,1760578234.3749185,1432058400.0,float,None,0.227,source,0.22698767531296718,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.227},1760578234.3770099
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191800_Wave_Period,None,1760578234.3749185,1432058400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578234.3780096
Montrose_Beach_Water_Temperature,MontroseBeach201505191900_Water_Temperature,None,1760578234.4366279,1432062000.0,float,None,12.3,source,12.299646248877522,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.3},1760578234.437775
Montrose_Beach_Turbidity,MontroseBeach201505191900_Turbidity,None,1760578234.4366279,1432062000.0,float,None,1.21,source,1.209942855587907,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.21},1760578234.4388232
Montrose_Beach_Wave_Height,MontroseBeach201505191900_Wave_Height,None,1760578234.4366279,1432062000.0,float,None,0.271,source,0.2709806797463877,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.271},1760578234.4388232
