pattern_name,TP,FP,FN,precision,recall,F1,FP_events,FN_events,dataset
63rd_HighTurbidity_85,111,0,0,1.0,1.0,1.0,[],[],oracle
63rd_HighWave_85,88,0,0,1.0,1.0,1.0,[],[],oracle
63rd_LocalAlert_85,111,0,0,1.0,1.0,1.0,[],[],oracle
63rd_WaterTempDrop_85,1696,0,0,1.0,1.0,1.0,[],[],oracle
CalumetTo63rd_AlertSpread_85,16,0,0,1.0,1.0,1.0,[],[],oracle
Calumet_HighTurbidity_85,77,0,0,1.0,1.0,1.0,[],[],oracle
Calumet_HighWave_85,31,0,0,1.0,1.0,1.0,[],[],oracle
Calumet_LocalAlert_85,77,0,0,1.0,1.0,1.0,[],[],oracle
Calumet_WaterTempDrop_85,2303,0,0,1.0,1.0,1.0,[],[],oracle
MontroseToCalumet_AlertSpread_85,8,0,0,1.0,1.0,1.0,[],[],oracle
Montrose_HighTurbidity_85,155,0,0,1.0,1.0,1.0,[],[],oracle
Montrose_HighWave_85,230,0,0,1.0,1.0,1.0,[],[],oracle
Montrose_LocalAlert_85,155,0,0,1.0,1.0,1.0,[],[],oracle
Montrose_WaterTempDrop_85,2104,0,0,1.0,1.0,1.0,[],[],oracle
Regional_TripleAlert_85,10,0,0,1.0,1.0,1.0,[],[],oracle
63rd_HighTurbidity_85,111,39,0,0.74,1.0,0.8505747126436781,"[23.695, 23.955, 24.306, 24.611, 24.988, 25.356, 25.419, 25.479, 25.785, 29.452, 29.514, 29.635, 29.699, 29.768, 29.823, 29.884, 29.946, 30.009, 30.067, 30.256, 73.536, 73.6, 73.663, 73.727, 73.86, 73.978, 74.117, 74.188, 74.319, 74.382, 74.452, 74.516, 74.575, 74.697, 74.873, 85.644, 85.705, 85.778, 85.839]",[],mar_30
63rd_HighWave_85,88,45,0,0.6616541353383458,1.0,0.7963800904977375,"[22.911, 22.973, 29.143, 29.204, 29.33, 29.452, 29.514, 29.638, 29.702, 29.946, 48.729, 48.791, 48.859, 48.925, 66.318, 66.585, 73.084, 73.141, 73.385, 73.536, 73.6, 73.663, 73.727, 73.86, 73.978, 74.117, 74.188, 74.319, 74.382, 74.452, 74.516, 74.575, 85.049, 85.107, 85.17, 85.242, 85.375, 85.438, 85.512, 85.581, 85.644, 85.705, 85.778, 166.221, 166.289]",[],mar_30
63rd_LocalAlert_85,111,35,0,0.7602739726027398,1.0,0.8638132295719844,"[23.695, 23.956, 24.306, 24.611, 24.988, 29.452, 29.514, 29.638, 29.699, 29.768, 29.823, 29.884, 29.946, 30.009, 30.067, 30.256, 73.536, 73.6, 73.663, 73.727, 73.86, 73.978, 74.117, 74.188, 74.319, 74.382, 74.452, 74.516, 74.575, 74.697, 74.873, 85.644, 85.705, 85.778, 85.839]",[],mar_30
63rd_WaterTempDrop_85,1694,288,2,0.8546922300706358,0.9988207547169812,0.921152800435019,"[10.292, 10.478, 10.591, 11.383, 11.675, 11.857, 12.219, 12.592, 12.716, 12.832, 12.957, 13.596, 13.715, 14.152, 14.333, 15.28, 15.464, 16.592, 16.653, 16.716, 17.034, 17.567, 17.69, 19.202, 19.562, 19.746, 22.911, 22.973, 23.695, 23.955, 24.306, 24.611, 24.988, 26.327, 27.485, 27.794, 27.919, 28.039, 28.287, 28.413, 29.33, 29.452, 29.946, 30.064, 30.256, 30.918, 31.228, 33.015, 33.201, 34.057, 34.178, 35.15, 35.391, 36.747, 36.933, 37.115, 37.177, 37.24, 38.108, 38.229, 38.59, 38.711, 38.838, 39.021, 40.004, 40.065, 40.127, 40.559, 43.089, 43.276, 43.588, 43.827, 44.02, 44.386, 44.634, 45.137, 45.752, 45.939, 47.042, 47.119, 47.168, 47.225, 47.348, 47.477, 48.197, 48.551, 48.605, 48.859, 50.389, 50.447, 50.97, 51.147, 51.268, 51.39, 51.503, 53.631, 54.001, 54.595, 54.702, 54.775, 54.951, 55.068, 56.829, 56.884, 57.07, 57.431, 57.514, 57.679, 58.439, 58.863, 60.618, 60.79, 60.928, 61.107, 61.418, 61.476, 61.943, 65.048, 65.306, 66.261, 67.026, 67.16, 68.012, 68.34, 68.407, 68.541, 68.872, 69.106, 69.227, 70.542, 71.082, 71.142, 71.208, 71.974, 72.329, 74.931, 75.441, 75.566, 76.405, 76.464, 76.761, 77.916, 80.816, 82.785, 82.852, 82.911, 82.957, 83.03, 83.093, 83.164, 83.56, 83.831, 83.955, 85.577, 85.914, 86.24, 86.308, 88.857, 90.86, 93.001, 93.05, 93.123, 93.184, 94.952, 95.121, 95.233, 96.663, 99.366, 99.431, 99.487, 99.555, 99.608, 99.666, 99.798, 99.863, 99.93, 99.994, 118.275, 118.34, 130.809, 130.866, 130.918, 130.997, 131.053, 131.105, 131.169, 131.245, 131.844, 131.909, 131.965, 132.016, 132.089, 132.161, 132.213, 132.261, 132.321, 132.462, 132.519, 132.589, 132.662, 132.71, 132.822, 132.932, 133.532, 133.657, 133.709, 133.766, 133.83, 133.908, 133.966, 134.022, 134.083, 134.694, 135.052, 135.166, 135.275, 135.335, 136.221, 136.334, 136.825, 137.02, 138.278, 138.416, 138.481, 138.843, 138.965, 139.022, 139.281, 139.399, 139.912, 140.035, 140.61, 141.177, 141.603, 142.321, 144.137, 145.409, 145.484, 145.542, 145.679, 145.914, 146.129, 146.186, 146.32, 146.599, 151.324, 151.967, 152.032, 152.089, 152.315, 152.511, 152.633, 153.334, 153.398, 153.532, 153.715, 153.833, 153.897, 153.968, 157.985, 158.117, 158.251, 158.3, 158.406, 158.474, 158.601, 158.67, 158.747, 158.809, 158.876, 158.927, 159.001, 159.07, 159.134, 159.207, 159.263, 159.319, 159.391, 159.84, 159.977, 160.222, 160.6, 162.657, 165.189, 165.555, 165.666, 165.723, 166.11]","[106.982, 107.058]",mar_30
CalumetTo63rd_AlertSpread_85,16,1,0,0.9411764705882353,1.0,0.9696969696969697,[74.319],[],mar_30
Calumet_HighTurbidity_85,64,48,13,0.5714285714285714,0.8311688311688312,0.6772486772486772,"[21.259, 21.321, 21.381, 21.443, 21.506, 21.585, 21.629, 21.693, 22.851, 74.249, 74.319, 74.382, 74.452, 74.633, 166.703, 167.855, 167.912, 167.971, 168.247, 179.167, 191.351, 191.406, 191.481, 191.544, 191.615, 191.679, 191.734, 191.785, 191.844, 191.907, 191.968, 192.031, 192.087, 192.149, 192.213, 192.273, 192.326, 192.38, 192.434, 192.485, 192.558, 192.621, 192.687, 192.741, 192.802, 192.861, 192.924, 192.975]","[182.545, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351, 196.428, 196.477, 196.54, 196.616, 196.665, 196.727]",mar_30
Calumet_HighWave_85,20,20,11,0.5,0.6451612903225806,0.5633802816901409,"[21.017, 21.147, 21.197, 21.259, 21.324, 21.381, 21.443, 191.907, 191.968, 192.031, 192.087, 192.149, 192.217, 192.273, 192.327, 192.38, 192.434, 192.485, 192.558, 192.621]","[195.73, 195.806, 195.852, 195.944, 195.978, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351]",mar_30
Calumet_LocalAlert_85,64,29,13,0.6881720430107527,0.8311688311688312,0.7529411764705883,"[21.259, 21.321, 21.381, 21.443, 21.506, 21.585, 22.851, 74.249, 166.703, 167.855, 168.134, 168.247, 179.167, 191.351, 191.406, 191.481, 191.544, 191.615, 191.679, 191.735, 191.785, 191.844, 191.907, 191.968, 192.031, 192.087, 192.861, 192.924, 192.975]","[182.545, 196.04, 196.102, 196.178, 196.24, 196.289, 196.351, 196.428, 196.477, 196.54, 196.616, 196.665, 196.727]",mar_30
