# Logger: PatternLogger | Started: Wed Oct 15 21:16:15 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 21:16:22.050,6.790,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191000_Water_Temperature]]
2025-10-15 21:16:22.061,6.801,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191200_Water_Temperature]]
2025-10-15 21:16:22.062,6.802,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-15 21:16:22.118,6.858,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191300_Water_Temperature]]
2025-10-15 21:16:22.179,6.919,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-15 21:16:22.180,6.920,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191400_Water_Temperature]]
2025-10-15 21:16:22.180,6.920,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191400_Water_Temperature]]
2025-10-15 21:16:22.240,6.980,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191500_Water_Temperature]]
2025-10-15 21:16:22.242,6.982,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
2025-10-15 21:16:22.244,6.984,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191500_Water_Temperature]]
2025-10-15 21:16:22.303,7.043,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191600_Water_Temperature]]
2025-10-15 21:16:22.305,7.045,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191600_Water_Temperature]]
2025-10-15 21:16:22.367,7.107,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191700_Water_Temperature]]
2025-10-15 21:16:22.367,7.107,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191700_Water_Temperature]]
2025-10-15 21:16:22.428,7.168,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191800_Water_Temperature]]
2025-10-15 21:16:22.430,7.170,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191800_Water_Temperature]]
2025-10-15 21:16:22.431,7.171,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191800_Water_Temperature]]
2025-10-15 21:16:22.493,7.233,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191900_Water_Temperature]]
2025-10-15 21:16:22.494,7.234,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191900_Water_Temperature]]
2025-10-15 21:16:22.554,7.294,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505192000_Water_Temperature]]
2025-10-15 21:16:22.555,7.295,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505192000_Water_Temperature]]
2025-10-15 21:16:22.556,7.296,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505192000_Water_Temperature]]
2025-10-15 21:16:22.616,7.356,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505192100_Water_Temperature]]
2025-10-15 21:16:22.618,7.358,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505192100_Water_Temperature]]
2025-10-15 21:16:22.680,7.420,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505192200_Water_Temperature]]
