# Started Wed Oct 15 21:27:01 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760578021.200495,1432029600.0,float,None,11.2,source,11.1765625,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760578021.2025006
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760578021.2015007,1432029600.0,float,None,1.19,source,1.167734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760578021.2025006
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760578021.2015007,1432029600.0,float,None,0.209,source,0.20794531249999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760578021.2025006
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760578021.2015007,1432029600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.2035012
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760578021.2608418,1432036800.0,float,None,12.9,source,12.67734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760578021.2608418
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760578021.2608418,1432036800.0,float,None,1.22,source,1.1942187499999999,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760578021.2608418
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760578021.2608418,1432036800.0,float,None,0.147,source,0.15321093749999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760578021.2608418
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760578021.2608418,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.2621403
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760578021.3870726,1432044000.0,float,None,12.9,source,12.953617735292623,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760578021.4020298
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760578021.3870726,1432044000.0,float,None,1.38,source,1.383084354502466,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760578021.403054
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,None,1760578021.3870726,1432044000.0,float,None,0.165,source,0.16315289571363198,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.165},1760578021.403054
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,None,1760578021.3880715,1432044000.0,float,None,4.0,source,3.9804749072049628,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760578021.4040341
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760578021.4506586,1432047600.0,float,None,12.9,source,12.889143716101584,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760578021.4516578
Calumet_Beach_Turbidity,CalumetBeach201505191500_Turbidity,None,1760578021.4506586,1432047600.0,float,None,1.24,source,1.279386832724537,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.24},1760578021.4526582
Calumet_Beach_Wave_Height,CalumetBeach201505191500_Wave_Height,None,1760578021.4506586,1432047600.0,float,None,0.221,source,0.21478757582247407,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.221},1760578021.4526582
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,None,1760578021.4506586,1432047600.0,float,None,3.0,source,3.273340764836533,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.4536567
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191500_Water_Temperature,None,1760578021.4516578,1432047600.0,float,None,11.3,source,11.302422757992096,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760578021.4536567
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191500_Turbidity,None,1760578021.4516578,1432047600.0,float,None,1.35,source,1.3519117294446323,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.35},1760578021.4536567
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191500_Wave_Height,None,1760578021.4516578,1432047600.0,float,None,0.253,source,0.25287209056210014,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.253},1760578021.4546578
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191500_Wave_Period,None,1760578021.4516578,1432047600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.4546578
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191600_Water_Temperature,None,1760578021.5142436,1432051200.0,float,None,11.5,source,11.468879261071951,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.5},1760578021.5162623
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191600_Turbidity,None,1760578021.5142436,1432051200.0,float,None,1.95,source,1.8547016332875397,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.95},1760578021.5162623
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191600_Wave_Height,None,1760578021.5142436,1432051200.0,float,None,0.246,source,0.25139260901741883,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.246},1760578021.5174668
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191600_Wave_Period,None,1760578021.5152583,1432051200.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.5174668
Calumet_Beach_Water_Temperature,CalumetBeach201505191600_Water_Temperature,None,1760578021.5152583,1432051200.0,float,None,13.0,source,12.92942954820386,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.0},1760578021.5174668
Calumet_Beach_Turbidity,CalumetBeach201505191600_Turbidity,None,1760578021.5162623,1432051200.0,float,None,1.32,source,1.2976257296153535,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.32},1760578021.5184646
Calumet_Beach_Wave_Height,CalumetBeach201505191600_Wave_Height,None,1760578021.5162623,1432051200.0,float,None,0.235,source,0.2420951444610783,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.235},1760578021.5184646
Calumet_Beach_Wave_Period,CalumetBeach201505191600_Wave_Period,None,1760578021.5162623,1432051200.0,float,None,3.0,source,2.972708074101972,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.5184646
Calumet_Beach_Water_Temperature,CalumetBeach201505191800_Water_Temperature,None,1760578021.6372604,1432058400.0,float,None,13.1,source,13.045087891903265,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.1},1760578021.6392596
Calumet_Beach_Turbidity,CalumetBeach201505191800_Turbidity,None,1760578021.6372604,1432058400.0,float,None,1.55,source,1.5206926607166593,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.55},1760578021.6402593
Calumet_Beach_Wave_Height,CalumetBeach201505191800_Wave_Height,None,1760578021.6372604,1432058400.0,float,None,0.207,source,0.21865597063016493,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.207},1760578021.6402593
Calumet_Beach_Wave_Period,CalumetBeach201505191800_Wave_Period,None,1760578021.6382592,1432058400.0,float,None,3.0,source,2.9011620647320364,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760578021.6412585
