pattern_name,TP,FP,FN,precision,recall,F1,tolerance_s,confidence_thr,dataset,level,MAE,RMSE,avg_confidence
63rd_HighTurbidity_65,135,26,36,0.8385093167701864,0.7894736842105263,0.8132530120481928,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighTurbidity_75,135,26,36,0.8385093167701864,0.7894736842105263,0.8132530120481928,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighTurbidity_85,135,26,36,0.8385093167701864,0.7894736842105263,0.8132530120481928,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighTurbidity_95,135,26,36,0.8385093167701864,0.7894736842105263,0.8132530120481928,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighWavePeriod_65,669,310,296,0.6833503575076609,0.6932642487046632,0.6882716049382717,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighWavePeriod_75,659,299,306,0.6878914405010439,0.6829015544041451,0.6853874154966199,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighWavePeriod_85,648,274,317,0.702819956616052,0.6715025906735751,0.6868044515103338,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_HighWavePeriod_95,636,252,329,0.7162162162162162,0.6590673575129534,0.6864543982730708,0.5,0.65,hybrid_10,atomic,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_LocalAlert_65,86,29,33,0.7478260869565218,0.7226890756302521,0.7350427350427351,0.5,0.65,hybrid_10,local_complex,0.037005305869726425,0.2060472843771233,0.9718417734516875
63rd_LocalAlert_75,86,29,33,0.7478260869565218,0.7226890756302521,0.7350427350427351,0.5,0.65,hybrid_10,local_complex,0.037005305869726425,0.2060472843771233,0.9718417734516875
