# Started Tue Oct 21 20:05:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,,,1432029600,,,0.072,missing,0.072,0.9512294248177905,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 0.209},1761091555.8811736
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1761091555.8801713,1432029600,float,None,11.2,source,11.199667774086379,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1761091555.8821714
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1761091555.8811736,1432029600,float,None,1.19,source,1.186046511627907,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1761091555.8821714
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1761091555.8811736,1432029600,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091555.8831718
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191100_Turbidity,,,1432033200,,,1.186046511627907,missing,1.186046511627907,0.6065306627302487,KalmanFilter,0.6065306597126334,True,reconstructed,,{'ground_truth': 1.2},1761091555.9419222
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191100_Water_Temperature,None,1761091555.9409149,1432033200,float,None,11.233333333333333,source,11.233166669407849,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.233333333333333},1761091555.942933
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191100_Wave_Height,None,1761091555.9419222,1432033200,float,None,0.204,source,0.20373652694610778,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.204},1761091555.9441273
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191100_Wave_Period,None,1761091555.9419222,1432033200,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091555.9441273
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191200_Water_Temperature,None,1761091556.0037756,1432036800,float,None,11.266666666666667,source,11.266500821031567,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.266666666666667},1761091556.005767
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191200_Turbidity,None,1761091556.0047674,1432036800,float,None,1.21,source,1.2099404137155891,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.21},1761091556.0067685
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,,,1432036800,,,0.072,missing,0.072,0.9512294248177905,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 0.232},1761091556.0067685
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191200_Wave_Height,None,1761091556.0047674,1432036800,float,None,0.199,source,0.19902344838489738,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.199},1761091556.00777
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191200_Wave_Period,None,1761091556.0047674,1432036800,float,None,3.0,source,2.9990247470437645,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091556.0087678
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1761091556.0047674,1432036800,float,None,12.9,source,12.894019933554818,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1761091556.0087678
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1761091556.0047674,1432036800,float,None,1.22,source,1.2159468438538208,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1761091556.0097678
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1761091556.0047674,1432036800,float,None,0.147,source,0.14675083056478405,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1761091556.0097678
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1761091556.0047674,1432036800,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091556.0097678
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1761091556.005767,1432036800,float,None,11.9,source,11.897342192691031,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1761091556.0112767
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1761091556.0067685,1432036800,float,None,0.46,source,0.45847176079734225,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1761091556.0122879
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1761091556.0067685,1432036800,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091556.0122879
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,,,1432040400,,,0.072,missing,0.072,0.9048374185185395,KalmanFilter,0.904837418337572,True,reconstructed,,{'ground_truth': 0.25},1761091556.0662997
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1761091556.06529,1432040400,float,None,11.3,source,11.299834158415909,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1761091556.0673027
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,None,1761091556.06529,1432040400,float,None,1.22,source,1.219950199454617,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1761091556.0683286
