# Started Tue Oct 21 19:54:08 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1761090848.5962894,1432029600,float,None,11.2,source,11.199667774086379,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1761090848.611306
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1761090848.5972974,1432029600,float,None,1.19,source,1.186046511627907,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1761090848.612306
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1761090848.5972974,1432029600,float,None,0.209,source,0.20854485049833887,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1761090848.6133056
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1761090848.5972974,1432029600,float,None,3.0,source,2.981308411214953,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761090848.614326
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191100_Water_Temperature,None,1761090848.6593175,1432033200,float,None,11.233333333333333,source,11.233166669407849,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.233333333333333},1761090848.6748447
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191100_Turbidity,None,1761090848.6593175,1432033200,float,None,1.2,source,1.1999309221887797,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.2},1761090848.6758516
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191100_Wave_Height,None,1761090848.6593175,1432033200,float,None,0.204,source,0.2040224996299403,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.204},1761090848.6758516
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191100_Wave_Period,None,1761090848.6603212,1432033200,float,None,3.0,source,2.9958289885297185,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761090848.676898
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191200_Water_Temperature,None,1761090848.7228456,1432036800,float,None,11.266666666666667,source,11.266500821031567,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.266666666666667},1761090848.7378457
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191200_Turbidity,None,1761090848.7238455,1432036800,float,None,1.21,source,1.2099501518584739,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.21},1761090848.7378457
