# Started Wed Oct 15 21:16:21 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,,,1432029600.0,,,0.2,missing,0.2,KalmanFilter,0.3067484662576687,True,reconstructed,,{'ground_truth': 0.209},1760577381.9862826
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760577381.9862826,1432029600.0,float,None,11.2,source,11.1765625,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760577381.9872777
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760577381.9862826,1432029600.0,float,None,1.19,source,1.167734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760577381.9872777
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760577381.9862826,1432029600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577381.9872777
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,,,1432036800.0,,,1.0,missing,1.0,KalmanFilter,0.3067484662576687,True,reconstructed,,{'ground_truth': 0.46},1760577382.0495625
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760577382.0481782,1432036800.0,float,None,11.9,source,11.79453125,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760577382.0508647
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760577382.0495625,1432036800.0,float,None,0.232,source,0.22825,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760577382.0508647
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760577382.0495625,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.0508647
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760577382.0495625,1432036800.0,float,None,12.9,source,12.67734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760577382.0508647
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760577382.0495625,1432036800.0,float,None,1.22,source,1.1942187499999999,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760577382.0508647
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760577382.0495625,1432036800.0,float,None,0.147,source,0.15321093749999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760577382.0520644
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760577382.0495625,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.0520644
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,,,1432040400.0,,,12.409765625,missing,12.409765625,KalmanFilter,0.2665805833532922,True,reconstructed,,{'ground_truth': 12.0},1760577382.1133773
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,,,1432040400.0,,,0.250125,missing,0.250125,KalmanFilter,0.2665805833532922,True,reconstructed,,{'ground_truth': 0.25},1760577382.1133773
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,,,1432040400.0,,,13.976171875,missing,13.976171875,KalmanFilter,0.2665805833532922,True,reconstructed,,{'ground_truth': 12.9},1760577382.1133773
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,,,1432040400.0,,,0.11698046874999997,missing,0.11698046874999997,KalmanFilter,0.2665805833532922,True,reconstructed,,{'ground_truth': 0.147},1760577382.1143563
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1760577382.1133773,1432040400.0,float,None,0.5,source,0.5160728636485401,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1760577382.1143563
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,,,1432040400.0,,,1.2976171875,missing,1.2976171875,KalmanFilter,0.2665805833532922,True,reconstructed,,{'ground_truth': 1.22},1760577382.1156476
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300_Wave_Height,,,1432040400.0,,,0.2,missing,0.2,KalmanFilter,0.099676052828308,True,reconstructed,,{'ground_truth': 0.194},1760577382.1156476
Montrose_Beach_Wave_Period,MontroseBeach201505191300_Wave_Period,None,1760577382.1133773,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.1156476
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,None,1760577382.1133773,1432040400.0,float,None,1.3,source,1.3043860659830242,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3},1760577382.1156476
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1760577382.1143563,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.1171002
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1760577382.1143563,1432040400.0,float,None,11.3,source,11.301305834005454,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760577382.1171002
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300_Wave_Period,None,1760577382.1156476,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.1171002
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,,,1432044000.0,,,0.07039843749999995,missing,0.07039843749999995,KalmanFilter,0.06224772649905172,True,reconstructed,,{'ground_truth': 0.165},1760577382.1753058
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400_Wave_Period,,,1432044000.0,,,3.0,missing,3.0,KalmanFilter,0.3043303371373782,True,reconstructed,,{'ground_truth': 3.0},1760577382.1753058
Montrose_Beach_Turbidity,MontroseBeach201505191400_Turbidity,,,1432044000.0,,,0.1401017948031075,missing,0.1401017948031075,KalmanFilter,0.26526834081332507,True,reconstructed,,{'ground_truth': 0.54},1760577382.1766064
Montrose_Beach_Wave_Height,MontroseBeach201505191400_Wave_Height,,,1432044000.0,,,0.27825,missing,0.27825,KalmanFilter,0.06224772649905172,True,reconstructed,,{'ground_truth': 0.291},1760577382.1766064
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760577382.1753058,1432044000.0,float,None,12.9,source,12.953617735292623,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760577382.177615
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760577382.1753058,1432044000.0,float,None,1.38,source,1.3877352963626173,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760577382.177615
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,None,1760577382.1753058,1432044000.0,float,None,4.0,source,3.88398637237301,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760577382.177615
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191400_Water_Temperature,None,1760577382.1753058,1432044000.0,float,None,11.3,source,11.318780570196488,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760577382.177615
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191400_Turbidity,None,1760577382.1753058,1432044000.0,float,None,1.27,source,1.2737997661056593,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.27},1760577382.1786156
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400_Wave_Height,None,1760577382.1753058,1432044000.0,float,None,0.237,source,0.23663811231559212,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.237},1760577382.1786156
Montrose_Beach_Water_Temperature,MontroseBeach201505191400_Water_Temperature,None,1760577382.1766064,1432044000.0,float,None,12.0,source,12.02344536533279,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760577382.1786156
Montrose_Beach_Wave_Period,MontroseBeach201505191400_Wave_Period,None,1760577382.1766064,1432044000.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.1796155
Montrose_Beach_Wave_Height,MontroseBeach201505191500_Wave_Height,,,1432047600.0,,,0.312625,missing,0.312625,KalmanFilter,0.01971841183597671,True,reconstructed,,{'ground_truth': 0.299},1760577382.2386065
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191500_Turbidity,,,1432047600.0,,,1.3244808244775512,missing,1.3244808244775512,KalmanFilter,0.37859548980340335,True,reconstructed,,{'ground_truth': 1.35},1760577382.2386065
Montrose_Beach_Water_Temperature,MontroseBeach201505191500_Water_Temperature,None,1760577382.2376142,1432047600.0,float,None,12.0,source,12.006738394963262,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760577382.240035
Montrose_Beach_Turbidity,MontroseBeach201505191500_Turbidity,None,1760577382.2376142,1432047600.0,float,None,0.61,source,0.5900924426163547,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.61},1760577382.240035
Montrose_Beach_Wave_Period,MontroseBeach201505191500_Wave_Period,None,1760577382.2386065,1432047600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.240035
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760577382.2386065,1432047600.0,float,None,12.9,source,12.889143716101584,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760577382.240035
Calumet_Beach_Turbidity,CalumetBeach201505191500_Turbidity,None,1760577382.2386065,1432047600.0,float,None,1.24,source,1.2791703730158661,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.24},1760577382.2414646
Calumet_Beach_Wave_Height,CalumetBeach201505191500_Wave_Height,None,1760577382.2386065,1432047600.0,float,None,0.221,source,0.21975513820733095,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.221},1760577382.2414646
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,None,1760577382.2386065,1432047600.0,float,None,3.0,source,3.2859618127405548,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760577382.2414646
