# Started Wed Oct 15 21:46:50 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760579210.137252,1432029600.0,float,None,11.2,source,11.1765625,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760579210.144385
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760579210.137252,1432029600.0,float,None,1.19,source,1.167734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760579210.144385
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760579210.137252,1432029600.0,float,None,0.209,source,0.20794531249999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760579210.1458364
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760579210.137252,1432029600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.1458364
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760579210.1919718,1432036800.0,float,None,11.9,source,11.79453125,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760579210.1929715
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1760579210.1919718,1432036800.0,float,None,0.46,source,0.5232812499999999,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760579210.1940205
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760579210.1919718,1432036800.0,float,None,0.232,source,0.22825,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760579210.1940205
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760579210.1919718,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.1940205
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760579210.1919718,1432036800.0,float,None,12.9,source,12.67734375,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760579210.195121
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760579210.1919718,1432036800.0,float,None,1.22,source,1.1942187499999999,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760579210.195121
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760579210.1929715,1432036800.0,float,None,0.147,source,0.15321093749999998,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760579210.195121
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760579210.1929715,1432036800.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.1962526
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,None,1760579210.2550497,1432040400.0,float,None,12.0,source,12.040288819756501,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760579210.257044
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1760579210.2550497,1432040400.0,float,None,0.5,source,0.4659945462226831,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1760579210.258044
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,None,1760579210.2550497,1432040400.0,float,None,0.25,source,0.2500122902024043,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.25},1760579210.258044
Montrose_Beach_Wave_Period,MontroseBeach201505191300_Wave_Period,None,1760579210.2560453,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.258044
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,None,1760579210.2560453,1432040400.0,float,None,12.9,source,13.00581096132427,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760579210.259044
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,None,1760579210.2560453,1432040400.0,float,None,1.3,source,1.3043860659830242,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3},1760579210.259044
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,None,1760579210.2560453,1432040400.0,float,None,0.147,source,0.14404843107884932,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760579210.2600458
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1760579210.2560453,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.2600458
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1760579210.257044,1432040400.0,float,None,11.3,source,11.301305834005454,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760579210.2600458
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,None,1760579210.257044,1432040400.0,float,None,1.22,source,1.227631447555402,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760579210.2610445
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300_Wave_Height,None,1760579210.257044,1432040400.0,float,None,0.194,source,0.19597603410531167,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.194},1760579210.2610445
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300_Wave_Period,None,1760579210.258044,1432040400.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.2610445
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760579210.3166878,1432044000.0,float,None,12.9,source,12.963077796493597,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760579210.333695
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760579210.317689,1432044000.0,float,None,1.38,source,1.3877352963626173,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760579210.333695
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,None,1760579210.317689,1432044000.0,float,None,0.165,source,0.16115221616894543,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.165},1760579210.333695
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,None,1760579210.317689,1432044000.0,float,None,4.0,source,3.88398637237301,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760579210.3346949
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191400_Water_Temperature,None,1760579210.317689,1432044000.0,float,None,11.3,source,11.318780570196488,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760579210.3346949
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191400_Turbidity,None,1760579210.317689,1432044000.0,float,None,1.27,source,1.274149338911369,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.27},1760579210.3346949
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400_Wave_Height,None,1760579210.3186882,1432044000.0,float,None,0.237,source,0.23048908325269818,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.237},1760579210.3346949
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400_Wave_Period,None,1760579210.3186882,1432044000.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.3356965
Montrose_Beach_Water_Temperature,MontroseBeach201505191400_Water_Temperature,None,1760579210.3186882,1432044000.0,float,None,12.0,source,12.042019758378338,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760579210.3356965
Montrose_Beach_Turbidity,MontroseBeach201505191400_Turbidity,None,1760579210.3186882,1432044000.0,float,None,0.54,source,0.5222884020124465,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.54},1760579210.3356965
Montrose_Beach_Wave_Height,MontroseBeach201505191400_Wave_Height,None,1760579210.3186882,1432044000.0,float,None,0.291,source,0.28949114854162183,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.291},1760579210.3356965
Montrose_Beach_Wave_Period,MontroseBeach201505191400_Wave_Period,None,1760579210.3186882,1432044000.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.3356965
Montrose_Beach_Water_Temperature,MontroseBeach201505191500_Water_Temperature,None,1760579210.3829138,1432047600.0,float,None,12.0,source,12.004751361113613,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760579210.3842437
Montrose_Beach_Turbidity,MontroseBeach201505191500_Turbidity,None,1760579210.3829138,1432047600.0,float,None,0.61,source,0.6118860084125369,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.61},1760579210.3842437
Montrose_Beach_Wave_Height,MontroseBeach201505191500_Wave_Height,None,1760579210.3829138,1432047600.0,float,None,0.299,source,0.3047704694028629,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.299},1760579210.3842437
Montrose_Beach_Wave_Period,MontroseBeach201505191500_Wave_Period,None,1760579210.3829138,1432047600.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760579210.3842437
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760579210.3829138,1432047600.0,float,None,12.9,source,12.888025175236242,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760579210.385487
