# Logger: PatternLogger | Started: Wed Oct 15 21:30:27 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 21:30:34.078,6.900,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-15 21:30:34.190,7.012,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
2025-10-15 21:30:34.377,7.199,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191800_Water_Temperature]]
2025-10-15 21:30:34.379,7.201,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505191800_Water_Temperature]]
2025-10-15 21:30:34.440,7.262,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505191900_Water_Temperature]]
2025-10-15 21:30:34.500,7.322,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505192000_Water_Temperature]]
2025-10-15 21:30:34.577,7.399,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505192100_Water_Temperature]]
2025-10-15 21:30:34.689,7.511,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505192300_Water_Temperature]]
2025-10-15 21:30:34.691,7.513,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505192300_Water_Temperature]]
2025-10-15 21:30:34.876,7.698,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505200200_Water_Temperature]]
2025-10-15 21:30:34.878,7.700,Montrose_HighWave_85,atomic,[Montrose_HighWave_85],[1.0000],1,1,1.0000,[[MontroseBeach201505200200_Wave_Height]]
2025-10-15 21:30:34.980,7.802,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505200400_Water_Temperature]]
2025-10-15 21:30:34.980,7.802,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505200400_Water_Temperature]]
2025-10-15 21:30:35.048,7.870,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505200500_Water_Temperature]]
2025-10-15 21:30:35.103,7.925,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505200600_Water_Temperature]]
2025-10-15 21:30:35.441,8.263,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505201200_Water_Temperature]]
2025-10-15 21:30:35.441,8.263,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505201200_Water_Temperature]]
2025-10-15 21:30:35.681,8.503,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505201600_Water_Temperature]]
2025-10-15 21:30:35.734,8.556,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201700_Water_Temperature]]
2025-10-15 21:30:35.734,8.556,63rd_HighWave_85,atomic,[63rd_HighWave_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201700_Wave_Height]]
2025-10-15 21:30:35.808,8.630,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505201800_Water_Temperature]]
2025-10-15 21:30:35.888,8.710,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201900_Water_Temperature]]
2025-10-15 21:30:35.888,8.710,63rd_HighWave_85,atomic,[63rd_HighWave_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201900_Wave_Height]]
2025-10-15 21:30:35.888,8.710,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505201900_Water_Temperature]]
2025-10-15 21:30:35.929,8.751,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505202000_Water_Temperature]]
2025-10-15 21:30:36.054,8.876,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505202200_Water_Temperature]]
2025-10-15 21:30:36.098,8.920,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505202300_Water_Temperature]]
2025-10-15 21:30:36.329,9.151,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505210300_Water_Temperature]]
2025-10-15 21:30:36.329,9.151,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505210300_Water_Temperature]]
2025-10-15 21:30:36.450,9.272,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505210500_Water_Temperature]]
2025-10-15 21:30:36.508,9.330,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505210600_Water_Temperature]]
2025-10-15 21:30:36.508,9.330,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505210600_Water_Temperature]]
2025-10-15 21:30:36.587,9.409,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505210700_Water_Temperature]]
2025-10-15 21:30:36.684,9.506,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505210900_Water_Temperature]]
2025-10-15 21:30:36.740,9.562,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505211000_Water_Temperature]]
2025-10-15 21:30:37.067,9.889,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505211500_Water_Temperature]]
2025-10-15 21:30:37.247,10.069,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505211800_Water_Temperature]]
2025-10-15 21:30:37.247,10.069,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505211800_Water_Temperature]]
2025-10-15 21:30:37.425,10.247,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505212100_Water_Temperature]]
2025-10-15 21:30:37.649,10.471,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505220100_Water_Temperature]]
2025-10-15 21:30:37.719,10.541,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505220200_Water_Temperature]]
2025-10-15 21:30:37.719,10.541,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505220200_Water_Temperature]]
2025-10-15 21:30:37.868,10.690,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505220400_Water_Temperature]]
2025-10-15 21:30:37.919,10.741,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505220500_Water_Temperature]]
2025-10-15 21:30:37.986,10.808,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505220600_Water_Temperature]]
2025-10-15 21:30:38.298,11.120,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505221100_Water_Temperature]]
2025-10-15 21:30:38.420,11.242,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505221300_Water_Temperature]]
2025-10-15 21:30:38.420,11.242,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505221300_Water_Temperature]]
2025-10-15 21:30:38.746,11.568,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505221800_Water_Temperature]]
2025-10-15 21:30:38.794,11.616,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505221900_Water_Temperature]]
2025-10-15 21:30:38.946,11.768,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505222100_Water_Temperature]]
2025-10-15 21:30:38.949,11.771,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505222100_Water_Temperature]]
2025-10-15 21:30:39.091,11.913,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505230900_Water_Temperature]]
2025-10-15 21:30:39.091,11.913,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505230900_Water_Temperature]]
2025-10-15 21:30:39.172,11.994,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505231000_Water_Temperature]]
2025-10-15 21:30:39.246,12.068,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505231100_Water_Temperature]]
2025-10-15 21:30:39.295,12.117,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505231200_Water_Temperature]]
2025-10-15 21:30:39.410,12.232,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505231400_Water_Temperature]]
2025-10-15 21:30:39.463,12.285,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505231500_Water_Temperature]]
2025-10-15 21:30:39.583,12.405,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505231700_Water_Temperature]]
2025-10-15 21:30:39.640,12.462,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505231800_Water_Temperature]]
2025-10-15 21:30:39.712,12.534,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505231900_Water_Temperature]]
2025-10-15 21:30:39.897,12.719,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505232200_Water_Temperature]]
2025-10-15 21:30:39.943,12.765,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505232300_Water_Temperature]]
2025-10-15 21:30:40.016,12.838,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505242400_Water_Temperature]]
2025-10-15 21:30:40.090,12.912,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505240200_Water_Temperature]]
2025-10-15 21:30:40.227,13.049,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505240400_Water_Temperature]]
2025-10-15 21:30:40.287,13.109,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505240500_Water_Temperature]]
2025-10-15 21:30:40.360,13.182,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505240600_Water_Temperature]]
2025-10-15 21:30:40.404,13.226,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505240700_Water_Temperature]]
2025-10-15 21:30:40.463,13.285,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505240800_Water_Temperature]]
2025-10-15 21:30:40.662,13.484,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505241100_Water_Temperature]]
2025-10-15 21:30:40.736,13.558,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505241200_Water_Temperature]]
2025-10-15 21:30:40.799,13.621,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505241300_Water_Temperature]]
2025-10-15 21:30:40.799,13.621,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505241300_Water_Temperature]]
2025-10-15 21:30:40.985,13.807,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505241600_Water_Temperature]]
2025-10-15 21:30:40.990,13.812,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505241600_Water_Temperature]]
2025-10-15 21:30:41.065,13.887,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505241700_Water_Temperature]]
2025-10-15 21:30:41.135,13.957,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505241800_Water_Temperature]]
2025-10-15 21:30:41.135,13.957,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505241800_Water_Temperature]]
2025-10-15 21:30:41.269,14.091,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505242000_Water_Temperature]]
2025-10-15 21:30:41.519,14.341,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505252400_Water_Temperature]]
2025-10-15 21:30:41.599,14.421,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505250100_Water_Temperature]]
2025-10-15 21:30:41.695,14.517,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505250300_Water_Temperature]]
2025-10-15 21:30:41.875,14.697,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505250600_Water_Temperature]]
2025-10-15 21:30:41.992,14.814,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505250800_Water_Temperature]]
2025-10-15 21:30:42.044,14.866,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505250900_Water_Temperature]]
2025-10-15 21:30:42.044,14.866,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505250900_Water_Temperature]]
2025-10-15 21:30:42.085,14.907,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505251000_Water_Temperature]]
2025-10-15 21:30:42.143,14.965,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505251100_Water_Temperature]]
2025-10-15 21:30:42.384,15.206,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505251500_Water_Temperature]]
2025-10-15 21:30:42.384,15.206,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505251500_Water_Temperature]]
2025-10-15 21:30:42.563,15.385,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505251800_Water_Temperature]]
2025-10-15 21:30:42.694,15.516,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505252000_Water_Temperature]]
2025-10-15 21:30:42.760,15.582,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505252100_Water_Temperature]]
2025-10-15 21:30:42.765,15.587,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505252100_Water_Temperature]]
2025-10-15 21:30:42.887,15.709,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505252300_Water_Temperature]]
2025-10-15 21:30:43.074,15.896,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505260200_Water_Temperature]]
2025-10-15 21:30:43.075,15.897,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505260200_Water_Temperature]]
2025-10-15 21:30:43.543,16.365,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505261100_Water_Temperature]]
2025-10-15 21:30:43.613,16.435,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505261200_Water_Temperature]]
2025-10-15 21:30:43.649,16.471,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505261300_Water_Temperature]]
2025-10-15 21:30:43.798,16.620,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505261600_Water_Temperature]]
2025-10-15 21:30:43.989,16.811,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505261900_Water_Temperature]]
2025-10-15 21:30:44.038,16.860,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505262000_Water_Temperature]]
2025-10-15 21:30:44.041,16.863,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505262000_Water_Temperature]]
2025-10-15 21:30:44.098,16.920,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505262100_Water_Temperature]]
2025-10-15 21:30:44.151,16.973,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505262200_Water_Temperature]]
2025-10-15 21:30:44.151,16.973,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505262200_Water_Temperature]]
2025-10-15 21:30:44.236,17.058,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505262300_Water_Temperature]]
2025-10-15 21:30:44.236,17.058,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505262300_Water_Temperature]]
2025-10-15 21:30:44.292,17.114,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505272400_Water_Temperature]]
2025-10-15 21:30:44.346,17.168,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505270100_Water_Temperature]]
2025-10-15 21:30:44.346,17.168,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505270100_Water_Temperature]]
2025-10-15 21:30:44.401,17.223,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505270200_Water_Temperature]]
2025-10-15 21:30:44.461,17.283,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505270300_Water_Temperature]]
2025-10-15 21:30:44.706,17.528,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505271200_Water_Temperature]]
2025-10-15 21:30:44.819,17.641,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505271600_Water_Temperature]]
2025-10-15 21:30:44.869,17.691,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505271700_Water_Temperature]]
2025-10-15 21:30:44.869,17.691,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505271700_Water_Temperature]]
2025-10-15 21:30:45.062,17.884,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505281200_Water_Temperature]]
2025-10-15 21:30:45.062,17.884,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505281200_Water_Temperature]]
2025-10-15 21:30:45.062,17.884,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505281200_Water_Temperature]]
2025-10-15 21:30:45.119,17.941,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505281300_Water_Temperature]]
2025-10-15 21:30:45.172,17.994,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505281400_Water_Temperature]]
2025-10-15 21:30:45.237,18.059,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505281500_Water_Temperature]]
2025-10-15 21:30:45.237,18.059,Calumet_WaterTempDrop_85,atomic,[Calumet_WaterTempDrop_85],[1.0000],1,1,1.0000,[[CalumetBeach201505281500_Water_Temperature]]
2025-10-15 21:30:45.419,18.241,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505281800_Water_Temperature]]
2025-10-15 21:30:45.419,18.241,63rd_WaterTempDrop_85,atomic,[63rd_WaterTempDrop_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505281800_Water_Temperature]]
2025-10-15 21:30:45.487,18.309,Montrose_WaterTempDrop_85,atomic,[Montrose_WaterTempDrop_85],[1.0000],1,1,1.0000,[[MontroseBeach201505281900_Water_Temperature]]
