# Started Thu Oct 16 17:14:45 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760649285.9911203,1432029600.0,float,None,11.2,source,11.199942889777269,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760649285.993126
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760649285.9921408,1432029600.0,float,None,1.19,source,1.1893203883495147,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760649285.993126
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760649285.9921408,1432029600.0,float,None,0.209,source,0.2089217589948601,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760649285.993126
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760649285.9921408,1432029600.0,float,None,3.0,source,2.9994288977727015,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649285.993126
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760649286.0533845,1432036800.0,float,None,11.9,source,11.899543118218162,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760649286.0533845
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1760649286.0533845,1432036800.0,float,None,0.46,source,0.4597372929754427,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760649286.0533845
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760649286.0533845,1432036800.0,float,None,0.232,source,0.23190862364363224,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760649286.054875
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760649286.0533845,1432036800.0,float,None,3.0,source,2.9994288977727015,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.054875
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760649286.0533845,1432036800.0,float,None,12.9,source,12.898972015990863,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760649286.054875
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760649286.0533845,1432036800.0,float,None,1.22,source,1.219303255282696,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760649286.054875
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760649286.0533845,1432036800.0,float,None,0.147,source,0.1469571673329526,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760649286.054875
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760649286.0533845,1432036800.0,float,None,3.0,source,2.9994288977727015,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.0563014
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300_Wave_Height,,,1432040400.0,,,0.2089217589948601,missing,0.2089217589948601,KalmanFilter,0.6409489214341205,True,reconstructed,,{'ground_truth': 0.194},1760649286.1171815
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,None,1760649286.1162026,1432040400.0,float,None,12.0,source,11.999866413619584,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760649286.1182022
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1760649286.1162026,1432040400.0,float,None,0.5,source,0.49994645912552943,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1760649286.1182022
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,None,1760649286.1171815,1432040400.0,float,None,0.25,source,0.24997594230040457,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.25},1760649286.1182022
Montrose_Beach_Wave_Period,MontroseBeach201505191300_Wave_Period,None,1760649286.1171815,1432040400.0,float,None,3.0,source,2.9999992405549722,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.119181
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,None,1760649286.1171815,1432040400.0,float,None,12.9,source,12.89999863299895,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760649286.119181
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,None,1760649286.1171815,1432040400.0,float,None,1.3,source,1.2998926904175505,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3},1760649286.119181
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,None,1760649286.1171815,1432040400.0,float,None,0.147,source,0.1469999430416229,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760649286.119181
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1760649286.1171815,1432040400.0,float,None,3.0,source,2.9999992405549722,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.119181
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1760649286.1171815,1432040400.0,float,None,11.3,source,11.299866945231104,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760649286.119181
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,None,1760649286.1171815,1432040400.0,float,None,1.22,source,1.2199592026130985,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760649286.119181
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300_Wave_Period,None,1760649286.1171815,1432040400.0,float,None,3.0,source,2.9999992405549722,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.120539
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760649286.1791208,1432044000.0,float,None,12.9,source,12.899999998182176,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760649286.1801105
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400_Wave_Height,,,1432044000.0,,,0.2089217589948601,missing,0.2089217589948601,KalmanFilter,0.5217326636139735,True,reconstructed,,{'ground_truth': 0.237},1760649286.1801105
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760649286.1791208,1432044000.0,float,None,1.38,source,1.37989347413399,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760649286.1801105
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,None,1760649286.1791208,1432044000.0,float,None,0.165,source,0.16497606371171733,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.165},1760649286.1811004
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,None,1760649286.1791208,1432044000.0,float,None,4.0,source,3.9986702094045414,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649286.1811004
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191400_Water_Temperature,None,1760649286.1801105,1432044000.0,float,None,11.3,source,11.299999823065155,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760649286.182099
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191400_Turbidity,None,1760649286.1801105,1432044000.0,float,None,1.27,source,1.269933456268782,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.27},1760649286.182099
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400_Wave_Period,None,1760649286.1811004,1432044000.0,float,None,3.0,source,2.999999998990098,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649286.1830983
