# Logger: PatternLogger | Started: Thu Oct 16 17:03:26 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-16 17:03:33.946,7.817,Calumet_LowWaterTemp_65,atomic,[Calumet_LowWaterTemp_65],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-16 17:03:33.953,7.824,Calumet_LowWaterTemp_75,atomic,[Calumet_LowWaterTemp_75],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-16 17:03:33.954,7.825,Calumet_LowWaterTemp_85,atomic,[Calumet_LowWaterTemp_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-16 17:03:33.954,7.825,Calumet_LowWaterTemp_95,atomic,[Calumet_LowWaterTemp_95],[1.0000],1,1,1.0000,[[CalumetBeach201505191200_Water_Temperature]]
2025-10-16 17:03:34.064,7.935,Calumet_LowWaterTemp_65,atomic,[Calumet_LowWaterTemp_65],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-16 17:03:34.065,7.936,Calumet_LowWaterTemp_75,atomic,[Calumet_LowWaterTemp_75],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-16 17:03:34.065,7.936,Calumet_LowWaterTemp_85,atomic,[Calumet_LowWaterTemp_85],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-16 17:03:34.065,7.936,Calumet_LowWaterTemp_95,atomic,[Calumet_LowWaterTemp_95],[1.0000],1,1,1.0000,[[CalumetBeach201505191400_Water_Temperature]]
2025-10-16 17:03:34.127,7.998,Calumet_LowWaterTemp_65,atomic,[Calumet_LowWaterTemp_65],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
2025-10-16 17:03:34.127,7.998,Calumet_LowWaterTemp_75,atomic,[Calumet_LowWaterTemp_75],[1.0000],1,1,1.0000,[[CalumetBeach201505191500_Water_Temperature]]
