# Started Thu Oct 16 17:22:17 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760649737.5597134,1432036800.0,float,None,12.9,source,12.898972015990863,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760649737.5607138
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760649737.5597134,1432036800.0,float,None,1.22,source,1.219303255282696,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760649737.5622196
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760649737.5597134,1432036800.0,float,None,0.147,source,0.1469571673329526,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760649737.5622196
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760649737.5597134,1432036800.0,float,None,3.0,source,2.9994288977727015,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649737.5622196
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760649737.7464948,1432047600.0,float,None,12.9,source,12.89999954352386,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760649737.7614646
Calumet_Beach_Turbidity,CalumetBeach201505191500_Turbidity,None,1760649737.7464948,1432047600.0,float,None,1.24,source,1.2399908096136918,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.24},1760649737.7614646
Calumet_Beach_Wave_Height,CalumetBeach201505191500_Wave_Height,None,1760649737.7464948,1432047600.0,float,None,0.221,source,0.22096712129154344,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.221},1760649737.7624893
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,None,1760649737.7464948,1432047600.0,float,None,3.0,source,2.999999746402144,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649737.7624893
Calumet_Beach_Water_Temperature,CalumetBeach201505191800_Water_Temperature,None,1760649737.932565,1432058400.0,float,None,13.1,source,13.099911189833076,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 13.1},1760649737.9347365
Calumet_Beach_Turbidity,CalumetBeach201505191800_Turbidity,None,1760649737.9337282,1432058400.0,float,None,1.55,source,1.549862340474461,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.55},1760649737.9347365
Calumet_Beach_Wave_Height,CalumetBeach201505191800_Wave_Height,None,1760649737.9337282,1432058400.0,float,None,0.207,source,0.20700620209771117,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.207},1760649737.9347365
Calumet_Beach_Wave_Period,CalumetBeach201505191800_Wave_Period,None,1760649737.9337282,1432058400.0,float,None,3.0,source,2.99999999988739,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649737.9357848
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191800_Water_Temperature,None,1760649737.9337282,1432058400.0,float,None,11.6,source,11.599920012797952,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.6},1760649737.9357848
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191800_Turbidity,None,1760649737.9337282,1432058400.0,float,None,1.67,source,1.6697328427451608,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.67},1760649737.9357848
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191800_Wave_Height,None,1760649737.9337282,1432058400.0,float,None,0.227,source,0.22697520396736526,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.227},1760649737.9357848
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191800_Wave_Period,None,1760649737.9337282,1432058400.0,float,None,3.0,source,2.999840025595905,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649737.9357848
Montrose_Beach_Water_Temperature,MontroseBeach201505191900_Water_Temperature,None,1760649737.997461,1432062000.0,float,None,12.3,source,12.29982859591487,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.3},1760649738.0114665
Montrose_Beach_Turbidity,MontroseBeach201505191900_Turbidity,None,1760649737.997461,1432062000.0,float,None,1.21,source,1.209827167547493,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.21},1760649738.0114665
Montrose_Beach_Wave_Height,MontroseBeach201505191900_Wave_Height,None,1760649737.997461,1432062000.0,float,None,0.271,source,0.2709715754892158,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.271},1760649738.0124748
Montrose_Beach_Wave_Period,MontroseBeach201505191900_Wave_Period,None,1760649737.997461,1432062000.0,float,None,3.0,source,2.9998571632623907,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649738.0124748
Calumet_Beach_Water_Temperature,CalumetBeach201505192000_Water_Temperature,None,1760649738.0585663,1432065600.0,float,None,12.8,source,12.800199674619508,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.8},1760649738.059809
Calumet_Beach_Turbidity,CalumetBeach201505192000_Turbidity,None,1760649738.0585663,1432065600.0,float,None,2.16,source,2.159593783062646,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.16},1760649738.059809
Calumet_Beach_Wave_Height,CalumetBeach201505192000_Wave_Height,None,1760649738.0585663,1432065600.0,float,None,0.226,source,0.22598735432522132,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.226},1760649738.0608163
Calumet_Beach_Wave_Period,CalumetBeach201505192000_Wave_Period,None,1760649738.0585663,1432065600.0,float,None,3.0,source,2.999999999999925,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649738.0608163
Calumet_Beach_Water_Temperature,CalumetBeach201505192100_Water_Temperature,None,1760649738.1209996,1432069200.0,float,None,12.6,source,12.600266223207267,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.6},1760649738.1220007
Calumet_Beach_Turbidity,CalumetBeach201505192100_Turbidity,None,1760649738.1209996,1432069200.0,float,None,1.83,source,1.8304382899931744,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.83},1760649738.1220007
Calumet_Beach_Wave_Height,CalumetBeach201505192100_Wave_Height,None,1760649738.1209996,1432069200.0,float,None,0.223,source,0.22300397254916232,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.223},1760649738.1229992
Calumet_Beach_Wave_Period,CalumetBeach201505192100_Wave_Period,None,1760649738.1209996,1432069200.0,float,None,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649738.1229992
Montrose_Beach_Water_Temperature,MontroseBeach201505192300_Water_Temperature,None,1760649738.2461348,1432076400.0,float,None,12.1,source,12.100066565158368,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.1},1760649738.2613583
Montrose_Beach_Turbidity,MontroseBeach201505192300_Turbidity,None,1760649738.2461348,1432076400.0,float,None,0.46,source,0.460249775883819,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760649738.2621422
Montrose_Beach_Wave_Height,MontroseBeach201505192300_Wave_Height,None,1760649738.2461348,1432076400.0,float,None,0.238,source,0.2380109832035503,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.238},1760649738.2621422
Montrose_Beach_Wave_Period,MontroseBeach201505192300_Wave_Period,None,1760649738.2461348,1432076400.0,float,None,5.0,source,4.999333729869452,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 5.0},1760649738.2621422
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505192300_Water_Temperature,None,1760649738.2461348,1432076400.0,float,None,10.8,source,10.800213198306745,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 10.8},1760649738.2621422
63rd_Street_Beach_Turbidity,63rdStreetBeach201505192300_Turbidity,None,1760649738.2471247,1432076400.0,float,None,1.19,source,1.1901278605712151,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760649738.2631414
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505192300_Wave_Height,None,1760649738.2471247,1432076400.0,float,None,0.217,source,0.2170026586365652,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.217},1760649738.2631414
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505192300_Wave_Period,None,1760649738.2471247,1432076400.0,float,None,3.0,source,2.999999957362897,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649738.2631414
Montrose_Beach_Water_Temperature,MontroseBeach201505200200_Water_Temperature,None,1760649738.4343042,1432087200.0,float,None,11.8,source,11.800133244498022,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.8},1760649738.4363048
Montrose_Beach_Turbidity,MontroseBeach201505200200_Turbidity,None,1760649738.4353085,1432087200.0,float,None,0.72,source,0.7198846579651252,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.72},1760649738.4363048
Montrose_Beach_Wave_Height,MontroseBeach201505200200_Wave_Height,None,1760649738.4353085,1432087200.0,float,None,0.358,source,0.35794671890117896,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.358},1760649738.4363048
Montrose_Beach_Wave_Period,MontroseBeach201505200200_Wave_Period,None,1760649738.4353085,1432087200.0,float,None,4.0,source,4.000443753942135,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649738.4363048
Montrose_Beach_Water_Temperature,MontroseBeach201505200400_Water_Temperature,None,1760649738.5581348,1432094400.0,float,None,11.7,source,11.700066666627231,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.7},1760649738.573244
Montrose_Beach_Turbidity,MontroseBeach201505200400_Turbidity,None,1760649738.5591323,1432094400.0,float,None,0.95,source,0.9498467940012876,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.95},1760649738.573244
Montrose_Beach_Wave_Height,MontroseBeach201505200400_Wave_Height,None,1760649738.5591323,1432094400.0,float,None,0.333,source,0.3330166090055103,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.333},1760649738.573244
Montrose_Beach_Wave_Period,MontroseBeach201505200400_Wave_Period,None,1760649738.5591323,1432094400.0,float,None,3.0,source,3.0006660746003413,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649738.5744414
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505200400_Water_Temperature,None,1760649738.5591323,1432094400.0,float,None,10.2,source,10.200159971546093,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 10.2},1760649738.5754483
63rd_Street_Beach_Turbidity,63rdStreetBeach201505200400_Turbidity,None,1760649738.5591323,1432094400.0,float,None,1.63,source,1.6298827632807367,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.63},1760649738.5754483
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505200400_Wave_Height,None,1760649738.5591323,1432094400.0,float,None,0.294,source,0.29397947831907434,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.294},1760649738.5754483
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505200400_Wave_Period,None,1760649738.5591323,1432094400.0,float,None,4.0,source,3.999733475449448,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649738.5754483
Montrose_Beach_Water_Temperature,MontroseBeach201505200500_Water_Temperature,None,1760649738.621808,1432098000.0,float,None,11.7,source,11.700000088652507,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.7},1760649738.6228087
Montrose_Beach_Turbidity,MontroseBeach201505200500_Turbidity,None,1760649738.621808,1432098000.0,float,None,1.08,source,1.0798269237749611,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.08},1760649738.6228087
Montrose_Beach_Wave_Height,MontroseBeach201505200500_Wave_Height,None,1760649738.621808,1432098000.0,float,None,0.337,source,0.33699470293281764,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.337},1760649738.6228087
Montrose_Beach_Wave_Period,MontroseBeach201505200500_Wave_Period,None,1760649738.621808,1432098000.0,float,None,4.0,source,3.998671097326921,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649738.6228087
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505200600_Water_Temperature,None,1760649738.6834176,1432101600.0,float,None,10.3,source,10.299933528597757,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 10.3},1760649738.6980762
63rd_Street_Beach_Turbidity,63rdStreetBeach201505200600_Turbidity,None,1760649738.6844127,1432101600.0,float,None,1.95,source,1.949786872640797,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.95},1760649738.699057
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505200600_Wave_Height,None,1760649738.6844127,1432101600.0,float,None,0.299,source,0.2989966574416965,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.299},1760649738.699057
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505200600_Wave_Period,None,1760649738.6844127,1432101600.0,float,None,4.0,source,3.99999982255353,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649738.699057
Montrose_Beach_Water_Temperature,MontroseBeach201505201200_Water_Temperature,None,1760649739.058005,1432123200.0,float,None,11.4,source,11.400057121128068,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.4},1760649739.060006
Montrose_Beach_Turbidity,MontroseBeach201505201200_Turbidity,None,1760649739.059007,1432123200.0,float,None,1.97,source,1.9698305077491214,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.97},1760649739.060006
Montrose_Beach_Wave_Height,MontroseBeach201505201200_Wave_Height,None,1760649739.059007,1432123200.0,float,None,0.32,source,0.3200032358543861,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.32},1760649739.060006
Montrose_Beach_Wave_Period,MontroseBeach201505201200_Wave_Period,None,1760649739.059007,1432123200.0,float,None,4.0,source,3.999999746972009,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649739.060006
Calumet_Beach_Water_Temperature,CalumetBeach201505201200_Water_Temperature,None,1760649739.059007,1432123200.0,float,None,12.3,source,12.300026685590002,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.3},1760649739.060006
Calumet_Beach_Turbidity,CalumetBeach201505201200_Turbidity,None,1760649739.059007,1432123200.0,float,None,2.98,source,2.979897834887499,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.98},1760649739.061339
Calumet_Beach_Wave_Height,CalumetBeach201505201200_Wave_Height,None,1760649739.059007,1432123200.0,float,None,0.23,source,0.22999937824135464,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.23},1760649739.061339
Calumet_Beach_Wave_Period,CalumetBeach201505201200_Wave_Period,None,1760649739.059007,1432123200.0,float,None,4.0,source,3.999911126900268,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649739.061339
Calumet_Beach_Water_Temperature,CalumetBeach201505201600_Water_Temperature,None,1760649739.3089578,1432137600.0,float,None,12.2,source,12.200033320016173,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.2},1760649739.3238752
Calumet_Beach_Turbidity,CalumetBeach201505201600_Turbidity,None,1760649739.3089578,1432137600.0,float,None,2.65,source,2.650109892686427,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.65},1760649739.3238752
Calumet_Beach_Wave_Height,CalumetBeach201505201600_Wave_Height,None,1760649739.3089578,1432137600.0,float,None,0.212,source,0.21200599579572757,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.212},1760649739.3238752
Calumet_Beach_Wave_Period,CalumetBeach201505201600_Wave_Period,None,1760649739.3089578,1432137600.0,float,None,3.0,source,3.000333081664391,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760649739.3249054
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505201700_Water_Temperature,None,1760649739.3723557,1432141200.0,float,None,10.8,source,10.799916683351071,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 10.8},1760649739.373353
63rd_Street_Beach_Turbidity,63rdStreetBeach201505201700_Turbidity,None,1760649739.3723557,1432141200.0,float,None,2.92,source,2.919838351676944,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.92},1760649739.373353
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505201700_Wave_Height,None,1760649739.3723557,1432141200.0,float,None,0.386,source,0.3859855042732074,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.386},1760649739.373353
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505201700_Wave_Period,None,1760649739.3723557,1432141200.0,float,None,4.0,source,3.9999999999704356,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760649739.373353
