# Started Thu Oct 16 18:10:28 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760652628.2464793,1432029600.0,float,None,11.2,source,11.199646063481453,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760652628.2485456
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760652628.2464793,1432029600.0,float,None,1.19,source,-0.01478974040147266,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760652628.2485456
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760652628.2464793,1432029600.0,float,None,0.209,source,0.20357922353878857,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760652628.2496345
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760652628.2464793,1432029600.0,float,None,3.0,source,2.911317989933721,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652628.2496345
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760652628.3077052,1432036800.0,float,None,11.9,source,11.895645054241216,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760652628.3219337
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1760652628.3077052,1432036800.0,float,None,0.46,source,0.4611988434216647,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760652628.3232703
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760652628.3087099,1432036800.0,float,None,0.232,source,0.23525996788278292,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760652628.324287
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760652628.3087099,1432036800.0,float,None,3.0,source,2.9869496635569703,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652628.324287
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760652628.3087099,1432036800.0,float,None,12.9,source,11.079011576257141,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760652628.324287
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760652628.3087099,1432036800.0,float,None,1.22,source,-0.001970224426714183,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760652628.3257833
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760652628.3087099,1432036800.0,float,None,0.147,source,0.14737391469284283,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760652628.3268666
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760652628.3087099,1432036800.0,float,None,3.0,source,3.0128702484363603,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652628.3268666
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,,,1432040400.0,,,3.0074857454000865,missing,3.0074857454000865,ParticleFilter,0.9182454273935522,True,reconstructed,,{'ground_truth': 3.0},1760652628.3714
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,None,1760652628.3703988,1432040400.0,float,None,12.0,source,11.993661243938718,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.0},1760652628.3734024
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1760652628.3703988,1432040400.0,float,None,0.5,source,0.5005007980762788,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1760652628.374905
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,None,1760652628.3703988,1432040400.0,float,None,0.25,source,0.24995245418080714,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.25},1760652628.374905
