# Started Thu Oct 16 18:03:14 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760652194.1649678,1432029600.0,float,None,11.2,source,11.196437308082789,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760652194.1665056
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760652194.1659765,1432029600.0,float,None,1.19,source,-0.01994658189044781,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760652194.1675112
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760652194.1659765,1432029600.0,float,None,0.209,source,0.20772017931954725,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760652194.1685195
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760652194.1659765,1432029600.0,float,None,3.0,source,2.8869300521531707,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.1690338
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,,,1432036800.0,,,-0.00824341797124349,missing,-0.00824341797124349,ParticleFilter,0.9219012977218984,True,reconstructed,,{'ground_truth': 0.46},1760652194.225188
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760652194.2228026,1432036800.0,float,None,11.9,source,11.87641033667251,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760652194.2260585
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760652194.2260585,1432036800.0,float,None,0.232,source,0.0711507949189334,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760652194.2260585
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760652194.2260585,1432036800.0,float,None,3.0,source,2.9748077886903967,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.2260585
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760652194.2260585,1432036800.0,float,None,12.9,source,11.09163445510701,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760652194.2316856
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760652194.2260585,1432036800.0,float,None,1.22,source,0.0008416572871294579,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760652194.2316856
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760652194.2260585,1432036800.0,float,None,0.147,source,0.14691944788952616,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760652194.2316856
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760652194.2260585,1432036800.0,float,None,3.0,source,2.982746451908802,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.2336934
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,,,1432040400.0,,,11.884599807364582,missing,11.884599807364582,ParticleFilter,0.9144533825698057,True,reconstructed,,{'ground_truth': 12.0},1760652194.2783566
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,,,1432040400.0,,,11.08886913308837,missing,11.08886913308837,ParticleFilter,0.8618831538385454,True,reconstructed,,{'ground_truth': 12.9},1760652194.2783566
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191300_Wave_Height,,,1432040400.0,,,0.2070927892573366,missing,0.2070927892573366,ParticleFilter,0.9974095018346598,True,reconstructed,,{'ground_truth': 0.194},1760652194.2783566
Montrose_Beach_Turbidity,MontroseBeach201505191300_Turbidity,None,1760652194.2783566,1432040400.0,float,None,0.5,source,0.49993199230321134,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.5},1760652194.2783566
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,None,1760652194.2783566,1432040400.0,float,None,0.25,source,0.2524315830765903,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.25},1760652194.2783566
Montrose_Beach_Wave_Period,MontroseBeach201505191300_Wave_Period,None,1760652194.2783566,1432040400.0,float,None,3.0,source,2.9992150756398113,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.2859113
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,None,1760652194.2783566,1432040400.0,float,None,1.3,source,1.2817374511383959,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.3},1760652194.2859113
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,None,1760652194.2783566,1432040400.0,float,None,0.147,source,0.14710520379166184,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760652194.2874935
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,None,1760652194.2783566,1432040400.0,float,None,3.0,source,3.002125580731863,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.289141
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191300_Water_Temperature,None,1760652194.2783566,1432040400.0,float,None,11.3,source,11.296413390493992,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.3},1760652194.2896965
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191300_Turbidity,None,1760652194.2783566,1432040400.0,float,None,1.22,source,1.233297636985873,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760652194.29057
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191300_Wave_Period,None,1760652194.2783566,1432040400.0,float,None,3.0,source,3.001227039096508,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760652194.29057
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191400_Wave_Period,,,1432044000.0,,,2.995571899593191,missing,2.995571899593191,ParticleFilter,0.9258861000927496,True,reconstructed,,{'ground_truth': 3.0},1760652194.3336885
Montrose_Beach_Wave_Height,MontroseBeach201505191400_Wave_Height,,,1432044000.0,,,0.2531740504976875,missing,0.2531740504976875,ParticleFilter,0.9975292381416335,True,reconstructed,,{'ground_truth': 0.291},1760652194.3364878
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760652194.330435,1432044000.0,float,None,12.9,source,11.092390605155593,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760652194.3364878
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760652194.330435,1432044000.0,float,None,1.38,source,1.3799896956284774,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760652194.3364878
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,None,1760652194.330435,1432044000.0,float,None,0.165,source,0.16493939615950004,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.165},1760652194.3364878
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,None,1760652194.3332868,1432044000.0,float,None,4.0,source,3.9560968205656675,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 4.0},1760652194.3364878
