# Started Thu Oct 16 17:59:40 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760651980.2594187,1432029600.0,float,None,11.2,source,11.198695259375999,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760651980.2634344
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760651980.2634344,1432029600.0,float,None,1.19,source,0.008238257483979917,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760651980.2662992
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760651980.2634344,1432029600.0,float,None,0.209,source,0.213716749415497,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760651980.2662992
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760651980.2634344,1432029600.0,float,None,3.0,source,2.988320972808417,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760651980.2678673
Montrose_Beach_Water_Temperature,MontroseBeach201505191200_Water_Temperature,None,1760651980.3139944,1432036800.0,float,None,11.9,source,11.883550282283604,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.9},1760651980.3304632
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,None,1760651980.3139944,1432036800.0,float,None,0.46,source,0.4602653613453665,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.46},1760651980.3304632
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,None,1760651980.3139944,1432036800.0,float,None,0.232,source,0.07164311432375295,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.232},1760651980.3304632
Montrose_Beach_Wave_Period,MontroseBeach201505191200_Wave_Period,None,1760651980.3139944,1432036800.0,float,None,3.0,source,2.8821250981412656,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760651980.3333132
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760651980.3139944,1432036800.0,float,None,12.9,source,11.095157702041654,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760651980.3333132
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760651980.3139944,1432036800.0,float,None,1.22,source,-0.002905020888691548,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760651980.3333132
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760651980.3139944,1432036800.0,float,None,0.147,source,0.1471670363779329,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760651980.3333132
