# Started Thu Oct 16 18:18:00 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201505191000_Water_Temperature,None,1760653080.09872,1432029600.0,float,None,11.2,source,11.199712138787937,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 11.2},1760653080.1010437
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191000_Turbidity,None,1760653080.09872,1432029600.0,float,None,1.19,source,-0.01197664065748019,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.19},1760653080.1010437
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191000_Wave_Height,None,1760653080.09872,1432029600.0,float,None,0.209,source,0.20879803756874654,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.209},1760653080.1021166
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,None,1760653080.09872,1432029600.0,float,None,3.0,source,2.872264779199797,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760653080.1021166
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,None,1760653080.1589227,1432036800.0,float,None,12.9,source,11.07955247544405,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760653080.174581
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760653080.1589227,1432036800.0,float,None,1.22,source,0.0018061124378355247,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760653080.174581
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760653080.1589227,1432036800.0,float,None,0.147,source,0.14691838145959407,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760653080.176169
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760653080.1589227,1432036800.0,float,None,3.0,source,2.9558151107088304,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760653080.176169
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760653080.2826483,1432044000.0,float,None,12.9,source,11.060418776223875,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760653080.2850718
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,None,1760653080.283648,1432044000.0,float,None,1.38,source,1.3671092301124528,ParticleFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.38},1760653080.2863913
