# Started Wed Oct 15 15:07:34 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,,,1760555253.5877855,,,10.0,missing,10.0,KalmanFilter,0.49748149990672225,True,reconstructed,,{'ground_truth': 12.9},1760555254.6342573
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,,,1760555253.7007046,,,1.0,missing,1.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 1.3},1760555254.635255
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,,,1760555253.8007045,,,1.0,missing,1.0,KalmanFilter,0.4896176515780665,True,reconstructed,,{'ground_truth': 1.38},1760555254.6363978
Calumet_Beach_Turbidity,CalumetBeach201505191600_Turbidity,,,1760555254.0007043,,,1.0,missing,1.0,KalmanFilter,0.47730978468233437,True,reconstructed,,{'ground_truth': 1.32},1760555254.6375737
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760555254.635255,1432036800.0,float,NTU,1.22,source,1.1751186026625753,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760555254.6397057
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,,,1760555253.7251272,,,3.0,missing,3.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 3.0},1760555254.6397057
Calumet_Beach_Wave_Period,CalumetBeach201505191400_Wave_Period,,,1760555253.8251271,,,3.0,missing,3.0,KalmanFilter,0.4896176515780665,True,reconstructed,,{'ground_truth': 4.0},1760555254.6410432
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,,,1760555253.6504588,,,1.0,missing,1.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 0.46},1760555254.6420476
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,,,1760555253.925127,,,3.0,missing,3.0,KalmanFilter,0.47730978468233437,True,reconstructed,,{'ground_truth': 3.0},1760555254.6420476
Calumet_Beach_Water_Temperature,CalumetBeach201505191300_Water_Temperature,None,1760555254.635255,1432040400.0,float,C,12.9,source,12.4324846595874,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760555254.6420476
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,,,1760555253.6648085,,,0.2,missing,0.2,KalmanFilter,0.4962717584149081,True,reconstructed,,{'ground_truth': 0.232},1760555254.6430497
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,,,1760555253.7373655,,,10.0,missing,10.0,KalmanFilter,0.49748149990672225,True,reconstructed,,{'ground_truth': 12.0},1760555254.6430497
Calumet_Beach_Water_Temperature,CalumetBeach201505191400_Water_Temperature,None,1760555254.6363978,1432044000.0,float,C,12.9,source,12.681891460389997,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760555254.6440492
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,,,1760555253.7648084,,,0.2,missing,0.2,KalmanFilter,0.48769779269807906,True,reconstructed,,{'ground_truth': 0.25},1760555254.6440492
Calumet_Beach_Turbidity,CalumetBeach201505191500_Turbidity,None,1760555254.6363978,1432047600.0,float,NTU,1.24,source,1.2092024836790702,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.24},1760555254.6450517
Calumet_Beach_Wave_Period,CalumetBeach201505191700_Wave_Period,,,1760555254.1251268,,,3.0,missing,3.0,KalmanFilter,0.46071432512181476,True,reconstructed,,{'ground_truth': 3.0},1760555254.6450517
Calumet_Beach_Water_Temperature,CalumetBeach201505191500_Water_Temperature,None,1760555254.6363978,1432047600.0,float,C,12.9,source,12.803664871532224,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 12.9},1760555254.6460493
Montrose_Beach_Water_Temperature,MontroseBeach201505191500_Water_Temperature,,,1760555253.9373653,,,10.0,missing,10.0,KalmanFilter,0.4900517047550554,True,reconstructed,,{'ground_truth': 12.0},1760555254.6470478
