# Logger: PatternLogger | Started: Wed Oct 15 15:07:31 EDT 2025
fired_at,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 15:07:38.428,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8425],1,1,0.8425,[[MontroseBeach201505201500_Wave_Height]]
2025-10-15 15:07:38.582,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505201600_Wave_Height]]
2025-10-15 15:07:38.583,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505201600_Wave_Height]]
2025-10-15 15:07:38.584,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505201600_Wave_Height]]
2025-10-15 15:07:38.730,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8362],1,1,0.8362,[[MontroseBeach201505201700_Wave_Height]]
2025-10-15 15:07:38.887,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:07:38.887,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:07:38.888,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:07:39.017,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505201900_Wave_Height]]
2025-10-15 15:07:39.018,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505201900_Wave_Height]]
2025-10-15 15:07:39.018,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505201900_Wave_Height]]
2025-10-15 15:07:39.302,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8619],1,1,0.8619,[[MontroseBeach201505202100_Wave_Height]]
2025-10-15 15:07:39.303,HighWaveHeight_85,atomic,[HighWaveHeight_85],[0.8619],1,1,0.8619,[[MontroseBeach201505202100_Wave_Height]]
2025-10-15 15:07:42.787,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505212300_Wave_Period]]
2025-10-15 15:07:42.788,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505212300_Wave_Period]]
2025-10-15 15:07:42.788,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505212300_Wave_Period]]
2025-10-15 15:07:56.201,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505261700_Wave_Period]]
2025-10-15 15:07:56.202,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505261700_Wave_Period]]
2025-10-15 15:07:56.202,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505261700_Wave_Period]]
2025-10-15 15:07:56.903,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505262300_Wave_Period]]
