# Started Wed Oct 15 15:26:47 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Calumet_Beach_Wave_Period,CalumetBeach201505191300_Wave_Period,,,1760556406.83469,,,3.0,missing,3.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 3.0},1760556407.7608967
Calumet_Beach_Wave_Height,CalumetBeach201505191800_Wave_Height,,,1760556407.3221788,,,0.2,missing,0.2,KalmanFilter,0.4962717584149081,True,reconstructed,,{'ground_truth': 0.207},1760556407.7608967
63rd_Street_Beach_Wave_Period,63rdStreetBeach201505191000_Wave_Period,,,1760556406.8332741,,,3.0,missing,3.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 3.0},1760556407.7620144
Montrose_Beach_Water_Temperature,MontroseBeach201505191300_Water_Temperature,,,1760556406.8478174,,,10.0,missing,10.0,KalmanFilter,0.49748149990672225,True,reconstructed,,{'ground_truth': 12.0},1760556407.7620144
Montrose_Beach_Turbidity,MontroseBeach201505191200_Turbidity,,,1760556406.7608159,,,1.0,missing,1.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 0.46},1760556407.7620144
Calumet_Beach_Water_Temperature,CalumetBeach201505191200_Water_Temperature,,,1760556406.697653,,,10.0,missing,10.0,KalmanFilter,0.49748149990672225,True,reconstructed,,{'ground_truth': 12.9},1760556407.7620144
Calumet_Beach_Turbidity,CalumetBeach201505191300_Turbidity,,,1760556406.8101716,,,1.0,missing,1.0,KalmanFilter,0.49725886053132107,True,reconstructed,,{'ground_truth': 1.3},1760556407.7620144
Montrose_Beach_Wave_Height,MontroseBeach201505191200_Wave_Height,,,1760556406.7738285,,,0.2,missing,0.2,KalmanFilter,0.4962717584149081,True,reconstructed,,{'ground_truth': 0.232},1760556407.7620144
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191400_Wave_Height,,,1760556407.221274,,,0.2,missing,0.2,KalmanFilter,0.4745460329523581,True,reconstructed,,{'ground_truth': 0.237},1760556407.7630255
Calumet_Beach_Wave_Height,CalumetBeach201505191900_Wave_Height,,,1760556407.4221787,,,0.2,missing,0.2,KalmanFilter,0.48769779269807906,True,reconstructed,,{'ground_truth': 0.21},1760556407.7643929
Calumet_Beach_Turbidity,CalumetBeach201505191200_Turbidity,None,1760556407.750606,1432036800.0,float,NTU,1.22,source,1.169657710569974,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.22},1760556407.7655823
Calumet_Beach_Wave_Period,CalumetBeach201505191500_Wave_Period,,,1760556407.03469,,,3.0,missing,3.0,KalmanFilter,0.4896176515780665,True,reconstructed,,{'ground_truth': 3.0},1760556407.7655823
Calumet_Beach_Turbidity,CalumetBeach201505191400_Turbidity,,,1760556406.9101715,,,1.1713483724566656,missing,1.1713483724566656,KalmanFilter,0.8018475080219217,True,reconstructed,,{'ground_truth': 1.38},1760556407.766937
Montrose_Beach_Wave_Height,MontroseBeach201505191300_Wave_Height,,,1760556406.8738284,,,0.2,missing,0.2,KalmanFilter,0.48769779269807906,True,reconstructed,,{'ground_truth': 0.25},1760556407.766937
Montrose_Beach_Water_Temperature,MontroseBeach201505191500_Water_Temperature,,,1760556407.0478172,,,10.0,missing,10.0,KalmanFilter,0.4900517047550554,True,reconstructed,,{'ground_truth': 12.0},1760556407.766937
Calumet_Beach_Wave_Height,CalumetBeach201505191200_Wave_Height,None,1760556407.7513673,1432036800.0,float,m,0.147,source,0.16106509768401084,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760556407.7679472
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191600_Wave_Height,,,1760556407.4212737,,,0.2,missing,0.2,KalmanFilter,0.4572239033456104,True,reconstructed,,{'ground_truth': 0.246},1760556407.7704418
Calumet_Beach_Wave_Period,CalumetBeach201505191700_Wave_Period,,,1760556407.2346897,,,3.0,missing,3.0,KalmanFilter,0.47730978468233437,True,reconstructed,,{'ground_truth': 3.0},1760556407.7714617
Calumet_Beach_Wave_Period,CalumetBeach201505191200_Wave_Period,None,1760556407.7526088,1432036800.0,float,s,3.0,source,3.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1760556407.7714617
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191800_Turbidity,,,1760556407.6092775,,,1.0,missing,1.0,KalmanFilter,0.47730978468233437,True,reconstructed,,{'ground_truth': 1.67},1760556407.7714617
Montrose_Beach_Turbidity,MontroseBeach201505191600_Turbidity,,,1760556407.1608155,,,1.0,missing,1.0,KalmanFilter,0.4896176515780665,True,reconstructed,,{'ground_truth': 0.69},1760556407.7714617
63rd_Street_Beach_Turbidity,63rdStreetBeach201505191900_Turbidity,,,1760556407.7092774,,,1.0,missing,1.0,KalmanFilter,0.46071432512181476,True,reconstructed,,{'ground_truth': 1.69},1760556407.7724633
Calumet_Beach_Wave_Height,CalumetBeach201505191300_Wave_Height,None,1760556407.7526088,1432040400.0,float,m,0.147,source,0.15413076238800902,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.147},1760556407.7724633
Calumet_Beach_Turbidity,CalumetBeach201505191600_Turbidity,,,1760556407.1101713,,,1.173047424724929,missing,1.173047424724929,KalmanFilter,0.7788554538847304,True,reconstructed,,{'ground_truth': 1.32},1760556407.7724633
Montrose_Beach_Wave_Height,MontroseBeach201505191500_Wave_Height,,,1760556407.0738282,,,0.2,missing,0.2,KalmanFilter,0.4745460329523581,True,reconstructed,,{'ground_truth': 0.299},1760556407.773652
Montrose_Beach_Water_Temperature,MontroseBeach201505191700_Water_Temperature,,,1760556407.247817,,,10.0,missing,10.0,KalmanFilter,0.4779360711205772,True,reconstructed,,{'ground_truth': 12.2},1760556407.773652
Calumet_Beach_Wave_Height,CalumetBeach201505191400_Wave_Height,None,1760556407.753626,1432044000.0,float,m,0.165,source,0.1569978310552862,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.165},1760556407.773652
Montrose_Beach_Wave_Height,MontroseBeach201505191600_Wave_Height,,,1760556407.1738281,,,0.2,missing,0.2,KalmanFilter,0.4572239033456104,True,reconstructed,,{'ground_truth': 0.293},1760556407.773652
Montrose_Beach_Water_Temperature,MontroseBeach201505191800_Water_Temperature,,,1760556407.347817,,,10.0,missing,10.0,KalmanFilter,0.4615070268748396,True,reconstructed,,{'ground_truth': 12.3},1760556407.7751014
63rd_Street_Beach_Wave_Height,63rdStreetBeach201505191800_Wave_Height,,,1760556407.6212735,,,0.2,missing,0.2,KalmanFilter,0.4362679588341919,True,reconstructed,,{'ground_truth': 0.227},1760556407.7751014
Calumet_Beach_Wave_Height,CalumetBeach201505191500_Wave_Height,None,1760556407.753626,1432047600.0,float,m,0.221,source,0.17660682992013213,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.221},1760556407.7761073
