# Logger: PatternLogger | Started: Wed Oct 15 15:26:44 EDT 2025
fired_at,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-15 15:26:51.714,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.7551],1,1,0.7551,[[MontroseBeach201505201600_Wave_Height]]
2025-10-15 15:26:52.026,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.027,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.027,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.157,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.7775],1,1,0.7775,[[MontroseBeach201505201900_Wave_Height]]
2025-10-15 15:26:52.395,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.396,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.396,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201505201800_Wave_Height]]
2025-10-15 15:26:52.518,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.7685],1,1,0.7685,[[63rdStreetBeach201505201900_Wave_Height]]
2025-10-15 15:26:54.803,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505211400_Wave_Period]]
2025-10-15 15:26:54.803,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505211400_Wave_Period]]
2025-10-15 15:26:54.804,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505211400_Wave_Period]]
2025-10-15 15:26:56.110,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505222400_Wave_Period]]
2025-10-15 15:26:56.111,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505222400_Wave_Period]]
2025-10-15 15:26:56.111,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505222400_Wave_Period]]
2025-10-15 15:27:10.117,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505272400_Wave_Period]]
2025-10-15 15:27:10.118,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505272400_Wave_Period]]
2025-10-15 15:27:10.118,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505272400_Wave_Period]]
2025-10-15 15:27:10.757,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505270900_Wave_Period]]
2025-10-15 15:27:10.758,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505270900_Wave_Period]]
2025-10-15 15:27:10.758,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505270900_Wave_Period]]
2025-10-15 15:27:10.851,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.9021],1,1,0.9021,[[MontroseBeach201505271000_Wave_Period]]
2025-10-15 15:27:10.852,LongWavePeriod_85,atomic,[LongWavePeriod_85],[0.9021],1,1,0.9021,[[MontroseBeach201505271000_Wave_Period]]
2025-10-15 15:27:10.960,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505271100_Wave_Period]]
2025-10-15 15:27:10.961,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505271100_Wave_Period]]
2025-10-15 15:27:10.961,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505271100_Wave_Period]]
2025-10-15 15:27:11.092,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505271200_Wave_Period]]
2025-10-15 15:27:11.093,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505271200_Wave_Period]]
2025-10-15 15:27:11.093,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505271200_Wave_Period]]
2025-10-15 15:27:11.191,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201505271000_Wave_Period]]
2025-10-15 15:27:11.192,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505271000_Wave_Period]]
2025-10-15 15:27:11.192,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201505271000_Wave_Period]]
2025-10-15 15:27:11.287,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.8527],1,1,0.8527,[[63rdStreetBeach201505271200_Wave_Period]]
2025-10-15 15:27:11.288,LongWavePeriod_85,atomic,[LongWavePeriod_85],[0.8527],1,1,0.8527,[[63rdStreetBeach201505271200_Wave_Period]]
2025-10-15 15:27:11.473,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505271700_Wave_Period]]
2025-10-15 15:27:11.473,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505271700_Wave_Period]]
2025-10-15 15:27:11.473,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505271700_Wave_Period]]
2025-10-15 15:27:15.691,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505291700_Wave_Period]]
2025-10-15 15:27:15.691,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505291700_Wave_Period]]
2025-10-15 15:27:15.691,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505291700_Wave_Period]]
2025-10-15 15:27:16.339,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[MontroseBeach201505292200_Wave_Period]]
2025-10-15 15:27:16.339,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[MontroseBeach201505292200_Wave_Period]]
2025-10-15 15:27:16.339,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[MontroseBeach201505292200_Wave_Period]]
2025-10-15 15:27:18.298,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505301200_Wave_Height]]
2025-10-15 15:27:18.299,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505301200_Wave_Height]]
2025-10-15 15:27:18.299,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505301200_Wave_Height]]
2025-10-15 15:27:18.429,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.429,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.429,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.778,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.778,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.779,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301300_Wave_Height]]
2025-10-15 15:27:18.848,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505301600_Wave_Height]]
2025-10-15 15:27:18.849,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505301600_Wave_Height]]
2025-10-15 15:27:18.849,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505301600_Wave_Height]]
2025-10-15 15:27:18.930,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301400_Wave_Height]]
2025-10-15 15:27:18.931,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301400_Wave_Height]]
2025-10-15 15:27:18.931,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201505301400_Wave_Height]]
2025-10-15 15:27:18.992,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505301700_Wave_Height]]
2025-10-15 15:27:18.993,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505301700_Wave_Height]]
2025-10-15 15:27:18.993,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505301700_Wave_Height]]
2025-10-15 15:27:19.227,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8451],1,1,0.8451,[[MontroseBeach201505301900_Wave_Height]]
2025-10-15 15:27:19.376,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505302000_Wave_Height]]
2025-10-15 15:27:19.376,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505302000_Wave_Height]]
2025-10-15 15:27:19.377,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505302000_Wave_Height]]
2025-10-15 15:27:19.422,LongWavePeriod_75,atomic,[LongWavePeriod_75],[1.0000],1,1,1.0000,[[CalumetBeach201505302100_Wave_Period]]
2025-10-15 15:27:19.423,LongWavePeriod_85,atomic,[LongWavePeriod_85],[1.0000],1,1,1.0000,[[CalumetBeach201505302100_Wave_Period]]
2025-10-15 15:27:19.423,LongWavePeriod_95,atomic,[LongWavePeriod_95],[1.0000],1,1,1.0000,[[CalumetBeach201505302100_Wave_Period]]
2025-10-15 15:27:19.469,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[MontroseBeach201505302100_Wave_Height]]
2025-10-15 15:27:19.470,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[MontroseBeach201505302100_Wave_Height]]
2025-10-15 15:27:19.470,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[MontroseBeach201505302100_Wave_Height]]
2025-10-15 15:27:19.540,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8650],1,1,0.8650,[[MontroseBeach201505302200_Wave_Height]]
2025-10-15 15:27:19.541,HighWaveHeight_85,atomic,[HighWaveHeight_85],[0.8650],1,1,0.8650,[[MontroseBeach201505302200_Wave_Height]]
2025-10-15 15:27:19.674,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.8069],1,1,0.8069,[[MontroseBeach201505312400_Wave_Height]]
2025-10-15 15:27:19.802,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.8456],1,1,0.8456,[[CalumetBeach201505310200_Wave_Period]]
2025-10-15 15:27:19.837,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[CalumetBeach201505310300_Wave_Height]]
2025-10-15 15:27:19.837,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[CalumetBeach201505310300_Wave_Height]]
2025-10-15 15:27:19.837,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[CalumetBeach201505310300_Wave_Height]]
2025-10-15 15:27:19.849,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.8246],1,1,0.8246,[[CalumetBeach201505310300_Wave_Period]]
2025-10-15 15:27:19.885,HighTurbidity_75,atomic,[HighTurbidity_75],[1.0000],1,1,1.0000,[[CalumetBeach201505310400_Turbidity]]
2025-10-15 15:27:19.885,HighTurbidity_85,atomic,[HighTurbidity_85],[1.0000],1,1,1.0000,[[CalumetBeach201505310400_Turbidity]]
2025-10-15 15:27:19.886,HighTurbidity_95,atomic,[HighTurbidity_95],[1.0000],1,1,1.0000,[[CalumetBeach201505310400_Turbidity]]
2025-10-15 15:27:19.899,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.8021],1,1,0.8021,[[CalumetBeach201505310400_Wave_Period]]
2025-10-15 15:27:19.949,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.7781],1,1,0.7781,[[CalumetBeach201505310500_Wave_Period]]
2025-10-15 15:27:19.995,LongWavePeriod_75,atomic,[LongWavePeriod_75],[0.7528],1,1,0.7528,[[CalumetBeach201505310600_Wave_Period]]
2025-10-15 15:27:20.008,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8163],1,1,0.8163,[[CalumetBeach201505310700_Turbidity]]
2025-10-15 15:27:20.054,HighTurbidity_75,atomic,[HighTurbidity_75],[0.7948],1,1,0.7948,[[CalumetBeach201505310800_Turbidity]]
2025-10-15 15:27:20.999,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201505312300_Wave_Height]]
2025-10-15 15:27:20.999,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201505312300_Wave_Height]]
2025-10-15 15:27:20.999,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201505312300_Wave_Height]]
2025-10-15 15:27:21.169,HighTurbidity_75,atomic,[HighTurbidity_75],[1.0000],1,1,1.0000,[[CalumetBeach201506010400_Turbidity]]
2025-10-15 15:27:21.170,HighTurbidity_85,atomic,[HighTurbidity_85],[1.0000],1,1,1.0000,[[CalumetBeach201506010400_Turbidity]]
2025-10-15 15:27:21.170,HighTurbidity_95,atomic,[HighTurbidity_95],[1.0000],1,1,1.0000,[[CalumetBeach201506010400_Turbidity]]
2025-10-15 15:27:21.231,HighTurbidity_75,atomic,[HighTurbidity_75],[0.7731],1,1,0.7731,[[CalumetBeach201506010500_Turbidity]]
2025-10-15 15:27:21.294,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201506010200_Wave_Height]]
2025-10-15 15:27:21.295,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201506010200_Wave_Height]]
2025-10-15 15:27:21.295,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201506010200_Wave_Height]]
2025-10-15 15:27:21.342,HighTurbidity_75,atomic,[HighTurbidity_75],[0.7556],1,1,0.7556,[[CalumetBeach201506010600_Turbidity]]
2025-10-15 15:27:21.377,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.7882],1,1,0.7882,[[63rdStreetBeach201506010300_Wave_Height]]
2025-10-15 15:27:21.468,HighWaveHeight_75,atomic,[HighWaveHeight_75],[0.7602],1,1,0.7602,[[63rdStreetBeach201506010400_Wave_Height]]
2025-10-15 15:27:21.871,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8771],1,1,0.8771,[[CalumetBeach201506011300_Turbidity]]
2025-10-15 15:27:21.872,HighTurbidity_85,atomic,[HighTurbidity_85],[0.8771],1,1,0.8771,[[CalumetBeach201506011300_Turbidity]]
2025-10-15 15:27:21.952,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8634],1,1,0.8634,[[CalumetBeach201506011400_Turbidity]]
2025-10-15 15:27:21.953,HighTurbidity_85,atomic,[HighTurbidity_85],[0.8634],1,1,0.8634,[[CalumetBeach201506011400_Turbidity]]
2025-10-15 15:27:22.001,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011100_Wave_Height]]
2025-10-15 15:27:22.002,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011100_Wave_Height]]
2025-10-15 15:27:22.002,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011100_Wave_Height]]
2025-10-15 15:27:22.038,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8478],1,1,0.8478,[[CalumetBeach201506011500_Turbidity]]
2025-10-15 15:27:22.096,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8304],1,1,0.8304,[[CalumetBeach201506011600_Turbidity]]
2025-10-15 15:27:22.153,HighTurbidity_75,atomic,[HighTurbidity_75],[0.8110],1,1,0.8110,[[CalumetBeach201506011700_Turbidity]]
2025-10-15 15:27:22.177,HighWaveHeight_75,atomic,[HighWaveHeight_75],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011400_Wave_Height]]
2025-10-15 15:27:22.178,HighWaveHeight_85,atomic,[HighWaveHeight_85],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011400_Wave_Height]]
2025-10-15 15:27:22.178,HighWaveHeight_95,atomic,[HighWaveHeight_95],[1.0000],1,1,1.0000,[[63rdStreetBeach201506011400_Wave_Height]]
