# Logger: PatternLogger | Started: Sun Apr 26 11:37:49 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 11:37:52.841,3.511,CrossSignalRelativeStable_GT,atomic,[CrossSignalRelativeStable_GT],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[62d3082c-0ffc-47c7-9bae-f5d09ef55710;d9fa53eb-fc32-46b1-be3a-0d08ebb51088;ba2d5ad1-02be-4021-802c-0d0463109c6d;ba4f75c6-1b27-4763-8d10-ab241a127062;0cce3098-1241-456d-a7d5-cdeae5c3ec14;559f5e56-0b54-4455-bc99-332ab029ea02]]
2026-04-26 11:37:52.857,3.527,CrossSignalAgreement_GT,atomic,[CrossSignalAgreement_GT],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[62d3082c-0ffc-47c7-9bae-f5d09ef55710;d9fa53eb-fc32-46b1-be3a-0d08ebb51088;ba2d5ad1-02be-4021-802c-0d0463109c6d;ba4f75c6-1b27-4763-8d10-ab241a127062;0cce3098-1241-456d-a7d5-cdeae5c3ec14;559f5e56-0b54-4455-bc99-332ab029ea02]]
2026-04-26 11:37:52.863,3.533,CrossSignalRelativeStable_SYS,atomic,[CrossSignalRelativeStable_SYS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[674b4553-aaa8-4388-9124-4aecd921d4b1;b30f4087-63f1-4eeb-bbc1-af70000fef07;c0a9c41f-fa6b-405c-ad75-fb8d8c2b0b2e;744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac]]
2026-04-26 11:37:52.864,3.534,CrossSignalRelativeStable_OBS,atomic,[CrossSignalRelativeStable_OBS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[674b4553-aaa8-4388-9124-4aecd921d4b1;b30f4087-63f1-4eeb-bbc1-af70000fef07;c0a9c41f-fa6b-405c-ad75-fb8d8c2b0b2e;744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac]]
2026-04-26 11:37:52.864,3.534,CrossSignalAgreement_SYS,atomic,[CrossSignalAgreement_SYS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[674b4553-aaa8-4388-9124-4aecd921d4b1;b30f4087-63f1-4eeb-bbc1-af70000fef07;c0a9c41f-fa6b-405c-ad75-fb8d8c2b0b2e;744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac]]
2026-04-26 11:37:52.865,3.535,CrossSignalAgreement_OBS,atomic,[CrossSignalAgreement_OBS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[674b4553-aaa8-4388-9124-4aecd921d4b1;b30f4087-63f1-4eeb-bbc1-af70000fef07;c0a9c41f-fa6b-405c-ad75-fb8d8c2b0b2e;744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac]]
2026-04-26 11:37:52.890,3.560,CrossSignalRelativeStable_GT,atomic,[CrossSignalRelativeStable_GT],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[ba4f75c6-1b27-4763-8d10-ab241a127062;0cce3098-1241-456d-a7d5-cdeae5c3ec14;559f5e56-0b54-4455-bc99-332ab029ea02;a76f9b3b-1e95-480c-bf37-1af76d123066;c75edd9e-ddc7-418e-b1d9-8322e2bba1ad;779a8e1a-415f-4c5b-a42e-ad69c0010b75]]
2026-04-26 11:37:52.891,3.561,CrossSignalAgreement_GT,atomic,[CrossSignalAgreement_GT],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[ba4f75c6-1b27-4763-8d10-ab241a127062;0cce3098-1241-456d-a7d5-cdeae5c3ec14;559f5e56-0b54-4455-bc99-332ab029ea02;a76f9b3b-1e95-480c-bf37-1af76d123066;c75edd9e-ddc7-418e-b1d9-8322e2bba1ad;779a8e1a-415f-4c5b-a42e-ad69c0010b75]]
2026-04-26 11:37:52.894,3.564,CrossSignalRelativeStable_SYS,atomic,[CrossSignalRelativeStable_SYS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac;522523e7-62e8-4689-8077-b80666fbaea8;c93e5ef8-ffa6-438d-b17d-dd95bd551e5c;dbb90968-7e76-4342-ad94-d51272c45e7d]]
2026-04-26 11:37:52.894,3.564,CrossSignalRelativeStable_OBS,atomic,[CrossSignalRelativeStable_OBS],[1.0000],1,6,1.0000,[dt-1;dt-2;dt-3],[[744d05d9-e644-4bbb-9c89-5c06fdf1e72e;1974cf21-5248-48a3-9599-37e93044a2a2;dc2c9863-40d9-4099-ba6c-88bd50a30fac;522523e7-62e8-4689-8077-b80666fbaea8;c93e5ef8-ffa6-438d-b17d-dd95bd551e5c;dbb90968-7e76-4342-ad94-d51272c45e7d]]
