# Started Tue Dec 30 12:10:50 2025
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras
d30c99dc-2cd8-4aa8-b7ea-ee7e18ebf7de,float,speed-1,1767114650.6210682,19.817702487496117,1.0,observed,scalar,km/h,{'drift': -0.42474150095292273, 'noise': 0.24244398844904097}
7b7f4ad1-fa05-4228-9b5b-bbf78368b599,float,engine-temp-1,1767114650.6220639,71.47540785598686,1.0,observed,scalar,C,{'drift': -0.2801661881146682, 'noise': 1.7555740441015233}
e2692205-ce05-4a3b-a45d-f4951e0f8db0,float,fuel-1,1767114650.6230657,49.458892848917664,1.0,observed,scalar,%,{'drift': -0.4614462729537322, 'noise': -0.07966087812860667}
e4045860-c167-4a3d-82ac-143a4ef35ac5,float,engine-temp-1,1767114651.5215316,71.57227834341772,1.0,observed,scalar,C,{'drift': -0.2666245259734778, 'noise': 0.3634950134043431}
3abf70ad-d7dd-4fb0-881a-31e9a191f7df,float,speed-1,1767114651.6321256,14.479112475637276,1.0,observed,scalar,km/h,{'drift': 0.6420199257655264, 'noise': -5.980609937624368}
18c5f1c9-0ecb-4d19-8f73-66089a464a9e,float,fuel-1,1767114651.8840308,49.554113568867024,1.0,observed,scalar,%,{'drift': 0.042088417863217376, 'noise': 0.05313230208614092}
1c2c0699-6977-4b91-acca-510c785bacb2,float,engine-temp-1,1767114652.404487,70.80502234558016,1.0,observed,scalar,C,{'drift': -0.2801588406227978, 'noise': -0.48709715721476465}
f1583c08-f746-4703-8e0c-ed430fece129,float,speed-1,1767114652.6246662,9.889395378963052,1.0,observed,scalar,km/h,{'drift': 0.7205254379748247, 'noise': -5.310242534649049}
cf790937-827a-4ab8-ba1e-2175ecb599eb,float,fuel-1,1767114653.125865,49.409249075446944,1.0,observed,scalar,%,{'drift': -0.21113765177374333, 'noise': 0.06627315835365986}
ed3505db-8968-41b5-a095-570da0b76aa4,float,engine-temp-1,1767114653.301514,72.65458742146433,1.0,observed,scalar,C,{'drift': 0.025795748305051713, 'noise': 1.8237693275791247}
93357caf-b45e-4e11-840c-1a0c26b61729,simulated,speed-1,1767114653.6190646,20.058190731905135,1.0,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114653.7349362}
d7babf43-63aa-49a1-8e6e-952cac016c3b,float,engine-temp-1,1767114654.182571,72.71885537645234,1.0,observed,scalar,C,{'drift': -0.2509245639163297, 'noise': 0.3151925189043453}
6b66da22-72a5-453b-9a95-2b6da8ff14e8,float,fuel-1,1767114654.385318,49.54117020372136,1.0,observed,scalar,%,{'drift': 0.21138838719635478, 'noise': -0.07946725892193854}
bb8fc543-f365-4c23-8fe3-aa567459c8c9,float,speed-1,1767114654.6358142,0.0,1.0,observed,scalar,km/h,{'drift': -0.666589559355613, 'noise': -8.82242956332742}
92e7b2fe-8903-4e3b-ad73-0bd8c8fc75d4,float,engine-temp-1,1767114655.0759487,72.40163324373592,1.0,observed,scalar,C,{'drift': -0.14200446278454518, 'noise': -0.17521766993188534}
5e677c19-dcb6-47ef-b6d1-6f988785a403,float,fuel-1,1767114655.6267152,49.92269540561278,1.0,observed,scalar,%,{'drift': 0.3964634255095729, 'noise': -0.014938223618152996}
b7493e95-b197-4c0e-b93b-6211fd394a2b,float,speed-1,1767114655.6267152,1.8907026639956572,1.0,observed,scalar,km/h,{'drift': 1.7784015486278801, 'noise': 0.11230111536777707}
95613cb3-84e1-4c58-a087-d22ad91ab83c,float,engine-temp-1,1767114655.972751,72.27400170826525,1.0,observed,scalar,C,{'drift': -0.0014192283660338645, 'noise': -0.12621230710463222}
42cb910f-9385-4056-a5ba-8af81455fad7,float,speed-1,1767114656.6351786,2.0793343619374838,1.0,observed,scalar,km/h,{'drift': -1.2232634227146653, 'noise': 1.4118951206564916}
68303043-1319-4f64-9ce0-069e1162ade3,float,engine-temp-1,1767114656.8587294,71.55130711679736,1.0,observed,scalar,C,{'drift': 0.2755721810661785, 'noise': -0.9982667725340664}
af2e403f-881f-48e4-9c4c-6db0d8ae3ff3,float,fuel-1,1767114656.8753076,49.806438731229655,1.0,observed,scalar,%,{'drift': 0.005190190011379103, 'noise': -0.12144686439449953}
b06a86a5-698e-4eb2-b207-92890fe3f46b,simulated,speed-1,1767114657.6190646,5.7559252934461025,0.9925970197480095,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114657.7233734}
b71e6b73-3895-41d9-8bde-61872c724b22,float,engine-temp-1,1767114657.7538161,70.0,1.0,observed,scalar,C,{'drift': -0.21403624928673048, 'noise': -1.5481167943055318}
b8bba4e7-f0d7-444a-aa30-5875b284a522,float,fuel-1,1767114658.1303566,50.37987437520102,1.0,observed,scalar,%,{'drift': 0.4476637331282842, 'noise': 0.12577191084308376}
e28f4c6e-f852-413a-946e-18ae75631a9f,float,engine-temp-1,1767114658.6491342,70.0111022221647,1.0,observed,scalar,C,{'drift': 0.2777323097543852, 'noise': -0.26663008758968576}
66173a61-08d9-401d-8992-ba064962ab92,simulated,speed-1,1767114658.6190646,4.962877990245676,0.9771735469581792,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114658.7283077}
5c9a5e94-95bf-441a-8401-0f6876bab657,float,fuel-1,1767114659.3883157,50.159624869077014,1.0,observed,scalar,%,{'drift': -0.20667457760759056, 'noise': -0.013574928516412288}
5c04fbf1-ba91-43c0-ba42-d93261faba2d,float,engine-temp-1,1767114659.5276718,70.0,1.0,observed,scalar,C,{'drift': 0.25655931002855376, 'noise': -0.6494514997680733}
182c9860-28e6-441b-a22d-873bec8554cf,float,speed-1,1767114659.62306,8.684115005677786,1.0,observed,scalar,km/h,{'drift': 1.2415446772585068, 'noise': 4.03594918262557}
a2acd22e-c255-48a4-8a44-284782217e17,float,engine-temp-1,1767114660.4251723,70.17652360897098,1.0,observed,scalar,C,{'drift': -0.24354085056305, 'noise': 0.42006445953402594}
fad4834e-5d16-4db7-8100-6747750780b2,float,fuel-1,1767114660.6281538,50.688158574660754,1.0,observed,scalar,%,{'drift': 0.38419904280415784, 'noise': 0.14433466277958082}
5c9b8a2a-36ef-42f8-b828-6e8024923997,simulated,speed-1,1767114660.6190646,6.6063615469122565,0.9745192391828628,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114660.7215407}
16a13954-fd18-45dc-b7fe-07c8ebac4f42,float,engine-temp-1,1767114661.3037145,72.05158273968995,1.0,observed,scalar,C,{'drift': 0.295253489310273, 'noise': 1.5798056414086883}
3d275139-85b7-46aa-b040-2ef5f85529ab,float,speed-1,1767114661.6351094,0.0,1.0,observed,scalar,km/h,{'drift': -1.5226962137702862, 'noise': -1.9838876370295646}
4c290310-8f18-4699-8e47-67b066a01a53,float,fuel-1,1767114661.8856478,50.95500748492437,1.0,observed,scalar,%,{'drift': 0.31387434609539355, 'noise': -0.04702543583177416}
cba2c82a-c25f-459c-8507-8d0a3e9b9bef,float,engine-temp-1,1767114662.2020469,71.87877182776064,1.0,observed,scalar,C,{'drift': 0.283493917050005, 'noise': -0.4563048289793147}
e2a79c4f-20d0-4c7a-ae5e-9710a598b9b3,float,speed-1,1767114662.6278453,0.0,1.0,observed,scalar,km/h,{'drift': 1.2370085809800972, 'noise': -1.9546115311391639}
b5b3fce4-e741-4ac4-bb97-e9fe691f9032,float,engine-temp-1,1767114663.0989196,74.6573652561553,1.0,observed,scalar,C,{'drift': 0.1927345332915184, 'noise': 2.585858895103141}
4a0fee30-011f-48a8-bccb-7d1659d69c56,float,fuel-1,1767114663.1301568,51.01086691492912,1.0,observed,scalar,%,{'drift': -0.02878251452865932, 'noise': 0.08464194453340726}
ef8f6787-84b8-447f-827e-89db720797b2,simulated,speed-1,1767114663.6190646,0.8240900074233223,0.9721469222906558,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114663.7335362}
c4f74f46-04bc-4fc5-bdcf-a88e4a7962ec,float,engine-temp-1,1767114663.9814374,73.96781765706012,1.0,observed,scalar,C,{'drift': -0.11105188258020102, 'noise': -0.5784957165149702}
06bcde1a-6a82-4adc-b2cc-f13e9ad1e36b,simulated,fuel-1,1767114664.3690646,50.07982811284574,1.0,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114664.4838057}
ac5210ee-9f50-4ee4-af33-62822be50dff,simulated,speed-1,1767114664.6190646,-0.22810872904559723,0.9571293317909055,reconstructed,unknown,,{'reconstruction_method': 'KalmanFilter', 'reconstruction_time': 1767114664.7212749}
e8ed2e72-7d1c-4a55-88d2-be502bfd69e5,float,engine-temp-1,1767114664.8781576,74.62108147973748,1.0,observed,scalar,C,{'drift': 0.2018101472815887, 'noise': 0.45145367539576664}
2a2b7b2e-315f-4879-9332-457347442790,float,speed-1,1767114665.6355782,3.5144028199836335,1.0,observed,scalar,km/h,{'drift': 0.33221631535870433, 'noise': 3.182186504624929}
b330beb2-4c2e-4ca8-8744-32534c43d1cb,float,fuel-1,1767114665.636067,50.73316440630325,1.0,observed,scalar,%,{'drift': -0.3918054930948903, 'noise': 0.028804892088385943}
5ac5eac8-762c-4164-b666-ca61cff68c0c,float,engine-temp-1,1767114665.7614515,78.33402880903053,1.0,observed,scalar,C,{'drift': -0.023158027172738627, 'noise': 3.736105356465778}
163bedfa-6e41-4f89-9020-775d83be28d7,float,speed-1,1767114666.6237512,4.155839635504512,1.0,observed,scalar,km/h,{'drift': -1.1213552317477817, 'noise': 1.7627920472686605}
634af6fb-37b0-4d98-aaa7-74d7a8b41bb3,float,engine-temp-1,1767114666.654472,76.64747191071741,1.0,observed,scalar,C,{'drift': -0.133782396315013, 'noise': -1.5527745019981007}
c58a2915-1a42-453a-8106-34cdd467b3dc,float,fuel-1,1767114666.8757915,50.24604707393699,1.0,observed,scalar,%,{'drift': -0.31882246280748083, 'noise': -0.1682948695587777}
9c51d065-988c-41c2-b6b5-7ce685ae5c5b,float,engine-temp-1,1767114667.5354044,75.97335114121759,1.0,observed,scalar,C,{'drift': 0.20117483934793917, 'noise': -0.8752956088477567}
2539f36f-bbd1-4620-bc00-0dfae8daf690,float,speed-1,1767114667.6296883,8.725330591845687,1.0,observed,scalar,km/h,{'drift': 1.5255039250598204, 'noise': 3.043987031281354}
53194692-6c9a-45cf-a0e0-d01507012993,float,fuel-1,1767114668.135304,50.23949280918409,1.0,observed,scalar,%,{'drift': -0.10981185247190484, 'noise': 0.10325758771900245}
b7d0a583-7f72-4c08-b0cc-f3d2a359122c,float,engine-temp-1,1767114668.432453,72.90755742849764,1.0,observed,scalar,C,{'drift': -0.05243377328706808, 'noise': -3.0133599394328785}
035f2b88-37e5-41c3-978e-ad3f2665cb02,float,speed-1,1767114668.6237605,1.9405323008282167,1.0,observed,scalar,km/h,{'drift': 0.23372843904619778, 'noise': -7.018526730063668}
ceff5838-85fb-4f01-a54e-4ecbf1498094,float,engine-temp-1,1767114669.3154483,72.32863878573735,1.0,observed,scalar,C,{'drift': 0.003946777896453979, 'noise': -0.5828654206567366}
8535bb59-88d8-4bff-b636-eb0660b75551,float,fuel-1,1767114669.3782496,50.13890310839179,1.0,observed,scalar,%,{'drift': -0.18938737810787087, 'noise': 0.08879767731556892}
4a4b50f2-ffa6-4576-9569-e5c72a2e0476,float,speed-1,1767114669.626837,8.607571898492694,1.0,observed,scalar,km/h,{'drift': 1.7588636717333337, 'noise': 4.908175925931143}
e4e6d12f-92bc-4eb0-b249-b1af567f8f75,float,engine-temp-1,1767114670.2141612,71.45260835994945,1.0,observed,scalar,C,{'drift': -0.27255320324535326, 'noise': -0.6034772225425455}
aaf403bd-ecdd-4042-a5ef-8b50e9c0c072,float,fuel-1,1767114670.6352272,50.01252148118042,1.0,observed,scalar,%,{'drift': -0.27177763454234327, 'noise': 0.14539600733097907}
