# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:10:50.741,2.339,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7b7f4ad1-fa05-4228-9b5b-bbf78368b599]]
2025-12-30 12:10:51.529,3.127,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e4045860-c167-4a3d-82ac-143a4ef35ac5]]
2025-12-30 12:10:52.420,4.018,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[1c2c0699-6977-4b91-acca-510c785bacb2]]
2025-12-30 12:10:53.308,4.906,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ed3505db-8968-41b5-a095-570da0b76aa4]]
2025-12-30 12:10:54.185,5.783,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d7babf43-63aa-49a1-8e6e-952cac016c3b]]
2025-12-30 12:10:55.080,6.678,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[92e7b2fe-8903-4e3b-ad73-0bd8c8fc75d4]]
2025-12-30 12:10:55.976,7.574,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[95613cb3-84e1-4c58-a087-d22ad91ab83c]]
2025-12-30 12:10:56.865,8.463,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[68303043-1319-4f64-9ce0-069e1162ade3]]
2025-12-30 12:10:57.755,9.353,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b71e6b73-3895-41d9-8bde-61872c724b22]]
2025-12-30 12:10:58.652,10.250,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e28f4c6e-f852-413a-946e-18ae75631a9f]]
2025-12-30 12:10:59.529,11.127,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[5c04fbf1-ba91-43c0-ba42-d93261faba2d]]
2025-12-30 12:11:00.428,12.026,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[a2acd22e-c255-48a4-8a44-284782217e17]]
2025-12-30 12:11:01.305,12.903,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[16a13954-fd18-45dc-b7fe-07c8ebac4f42]]
