# Started Sun Apr 26 11:11:53 2026
type,ts,constituent_id,from_state,target_state,transition,result,final_state,health,goal_match,trigger_event
lifecycle_decision,1777216313.7859352,speed-1,disengaged/disengaged,participating,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,1777216313.786442,speed-1,prepared/prepared,participating,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,1777216313.786442,speed-1,passive/available,participating,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,1777216313.788562,speed-1,passive/negotiating,participating,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,1777216314.8418062,speed-1,active/full_role,erroneous,raise_degrade,no_change,active/full_role,defective,False,raise_degrade
lifecycle_decision,1777216314.842805,speed-1,active/full_role,erroneous,raise_degrade,no_change,active/full_role,faulty,False,raise_degrade
lifecycle_decision,1777216314.842805,speed-1,active/full_role,erroneous,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
lifecycle_decision,1777216314.8438058,engine-temp-1,disengaged/disengaged,participating,raise_prepare_for_so_s,made,prepared/prepared,ideal,False,raise_prepare_for_so_s
lifecycle_decision,1777216314.8438058,engine-temp-1,prepared/prepared,participating,raise_join_so_s,made,passive/available,ideal,False,raise_join_so_s
lifecycle_decision,1777216314.8448043,engine-temp-1,passive/available,participating,raise_join_invitation,made,passive/negotiating,ideal,False,raise_join_invitation
lifecycle_decision,1777216314.8458076,engine-temp-1,passive/negotiating,participating,raise_join_constellation,made,active/pending_entry,ideal,False,raise_join_constellation
lifecycle_decision,1777216315.9085367,engine-temp-1,active/full_role,erroneous,raise_degrade,no_change,active/full_role,defective,False,raise_degrade
lifecycle_decision,1777216315.9093704,engine-temp-1,active/full_role,erroneous,raise_degrade,no_change,active/full_role,faulty,False,raise_degrade
lifecycle_decision,1777216315.9093704,engine-temp-1,active/full_role,erroneous,raise_degrade,made,active/restricted_role,erroneous,False,raise_degrade
