# Logger: PatternLogger | Started: Sun Apr 26 11:11:51 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 11:11:54.951,3.614,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[395a470b-275e-4ba6-bbac-1e9775b8d1de]]
2026-04-26 11:11:55.785,4.448,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d4768def-3447-4ed0-a714-274fd8f39629]]
2026-04-26 11:11:56.801,5.464,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[eee64350-e6c6-4d94-b5a9-3b943755b0ae]]
2026-04-26 11:11:56.805,5.468,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[395a470b-275e-4ba6-bbac-1e9775b8d1de];[eee64350-e6c6-4d94-b5a9-3b943755b0ae]]
2026-04-26 11:11:56.927,5.590,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[499742bb-5800-4a23-a84f-354b7925c4e1]]
2026-04-26 11:11:57.791,6.454,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[5a8ec661-66c0-430b-8503-c71d9bf3a4f3]]
2026-04-26 11:11:58.795,7.458,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[ab4544cb-ff28-40fa-892e-40cdcf96e15d]]
2026-04-26 11:11:58.808,7.471,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e0966e27-2167-41a1-8ae5-053b6cc3b2a3]]
2026-04-26 11:11:58.812,7.475,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[395a470b-275e-4ba6-bbac-1e9775b8d1de];[eee64350-e6c6-4d94-b5a9-3b943755b0ae];[e0966e27-2167-41a1-8ae5-053b6cc3b2a3]]
2026-04-26 11:11:58.813,7.476,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[499742bb-5800-4a23-a84f-354b7925c4e1];[e0966e27-2167-41a1-8ae5-053b6cc3b2a3]]
2026-04-26 11:11:59.804,8.467,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[492cd5ee-4099-4e33-9883-c98d5d508f55]]
2026-04-26 11:11:59.805,8.468,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[499742bb-5800-4a23-a84f-354b7925c4e1];[e0966e27-2167-41a1-8ae5-053b6cc3b2a3];[492cd5ee-4099-4e33-9883-c98d5d508f55]]
2026-04-26 11:11:59.817,8.480,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9c864aae-e761-4f82-9598-3583da7caa53]]
2026-04-26 11:12:00.796,9.459,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[74156133-4f52-4246-960e-3c93acabf2a0]]
2026-04-26 11:12:00.797,9.460,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[9c864aae-e761-4f82-9598-3583da7caa53];[74156133-4f52-4246-960e-3c93acabf2a0]]
2026-04-26 11:12:00.810,9.473,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[cf554692-6ae7-4af4-b3ca-9d42f29416fb]]
2026-04-26 11:12:01.794,10.457,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[fede942c-a960-4ee0-98db-0ecc0988897d]]
2026-04-26 11:12:01.807,10.470,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[67041f2f-dafe-450a-a4a2-88be90205b56]]
2026-04-26 11:12:01.808,10.471,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[9c864aae-e761-4f82-9598-3583da7caa53];[74156133-4f52-4246-960e-3c93acabf2a0];[67041f2f-dafe-450a-a4a2-88be90205b56]]
2026-04-26 11:12:01.809,10.472,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[cf554692-6ae7-4af4-b3ca-9d42f29416fb];[67041f2f-dafe-450a-a4a2-88be90205b56]]
2026-04-26 11:12:02.795,11.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[417eb367-4461-4ee3-a597-301014429f60]]
2026-04-26 11:12:02.797,11.460,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[cf554692-6ae7-4af4-b3ca-9d42f29416fb];[67041f2f-dafe-450a-a4a2-88be90205b56];[417eb367-4461-4ee3-a597-301014429f60]]
2026-04-26 11:12:02.810,11.473,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[6c7d04a5-913a-4b7e-8499-0f46cfda1116]]
2026-04-26 11:12:03.788,12.451,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[811ea956-6b1d-44d4-bba2-a7450c65bd96]]
2026-04-26 11:12:03.801,12.464,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[db3e1072-3dfb-4525-9439-2de99a28d57e]]
2026-04-26 11:12:03.802,12.465,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[6c7d04a5-913a-4b7e-8499-0f46cfda1116];[db3e1072-3dfb-4525-9439-2de99a28d57e]]
2026-04-26 11:12:04.795,13.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6dc7125b-7661-4268-93f6-b634021e323a]]
2026-04-26 11:12:04.796,13.459,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[6c7d04a5-913a-4b7e-8499-0f46cfda1116];[db3e1072-3dfb-4525-9439-2de99a28d57e];[6dc7125b-7661-4268-93f6-b634021e323a]]
2026-04-26 11:12:04.808,13.471,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[e20f8a62-2afd-4f5d-b6f4-629da5a8caa5]]
2026-04-26 11:12:05.797,14.460,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[fadb6f02-f82e-4ada-8b52-0c5ee18797b6]]
2026-04-26 11:12:05.799,14.462,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[e20f8a62-2afd-4f5d-b6f4-629da5a8caa5];[fadb6f02-f82e-4ada-8b52-0c5ee18797b6]]
2026-04-26 11:12:05.812,14.475,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[787cf5e0-e6c2-46a2-a426-5a0bfd152289]]
2026-04-26 11:12:06.787,15.450,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[767e6c3f-085b-4958-a04f-00a3d82b06af]]
2026-04-26 11:12:06.800,15.463,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[eb8ad58d-ff51-4195-a79e-656a1e095670]]
2026-04-26 11:12:06.801,15.464,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[e20f8a62-2afd-4f5d-b6f4-629da5a8caa5];[fadb6f02-f82e-4ada-8b52-0c5ee18797b6];[eb8ad58d-ff51-4195-a79e-656a1e095670]]
2026-04-26 11:12:06.802,15.465,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[787cf5e0-e6c2-46a2-a426-5a0bfd152289];[eb8ad58d-ff51-4195-a79e-656a1e095670]]
2026-04-26 11:12:07.791,16.454,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[56896d2d-59f2-4263-986e-973cb54c1fda]]
2026-04-26 11:12:07.792,16.455,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[787cf5e0-e6c2-46a2-a426-5a0bfd152289];[eb8ad58d-ff51-4195-a79e-656a1e095670];[56896d2d-59f2-4263-986e-973cb54c1fda]]
2026-04-26 11:12:07.805,16.468,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[700b3cf1-cb09-4044-bc9a-b368396e0e2e]]
2026-04-26 11:12:08.793,17.456,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[0fda9c8c-f392-40d8-8c2a-6b1a64b2fd57]]
2026-04-26 11:12:08.804,17.467,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ac389cb8-7002-4402-838b-669f86acabb1]]
2026-04-26 11:12:08.805,17.468,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[700b3cf1-cb09-4044-bc9a-b368396e0e2e];[ac389cb8-7002-4402-838b-669f86acabb1]]
2026-04-26 11:12:09.806,18.469,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[376589ee-eed7-4fcb-8b9a-29284b9eec60]]
2026-04-26 11:12:09.807,18.470,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[700b3cf1-cb09-4044-bc9a-b368396e0e2e];[ac389cb8-7002-4402-838b-669f86acabb1];[376589ee-eed7-4fcb-8b9a-29284b9eec60]]
2026-04-26 11:12:09.907,18.570,Overspeeding,atomic,[Overspeeding],[0.8173],1,1,0.8173,[speed-1],[[8ae45f45-24cc-42cb-80e5-dccb14b53b5d]]
2026-04-26 11:12:10.794,19.457,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[961af9cb-6e21-4c0a-a07c-63054e2c5990]]
2026-04-26 11:12:10.806,19.469,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[6aa93f72-f266-4264-a851-227f2d920aa0]]
2026-04-26 11:12:10.807,19.470,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[0.8173;1.0000],2,2,0.9087,[engine-temp-1;speed-1],[[8ae45f45-24cc-42cb-80e5-dccb14b53b5d];[6aa93f72-f266-4264-a851-227f2d920aa0]]
2026-04-26 11:12:11.791,20.454,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[84755a00-3358-471e-b6c0-69c357f061f0]]
2026-04-26 11:12:11.792,20.455,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[0.9087;1.0000],3,3,0.9087,[engine-temp-1;speed-1],[[8ae45f45-24cc-42cb-80e5-dccb14b53b5d];[6aa93f72-f266-4264-a851-227f2d920aa0];[84755a00-3358-471e-b6c0-69c357f061f0]]
2026-04-26 11:12:11.806,20.469,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[51503f9f-1c2d-436c-b92c-6253de68a2c3]]
2026-04-26 11:12:12.806,21.469,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[2af299f7-00ad-4720-a8f6-e0ae0b39f81a]]
2026-04-26 11:12:12.807,21.470,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[51503f9f-1c2d-436c-b92c-6253de68a2c3];[2af299f7-00ad-4720-a8f6-e0ae0b39f81a]]
