# Logger: CSVLogger | Started: Sat Sep 27 13:41:20 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,__topic__
observed,temp-1,temp-1-1758994876208,1758994876.2080085,1758994876.2080085,1758994876.2080085,float,C,20.833320973668236,observed,,,,,observed,SimulatedStream,{'ground_truth': 20.833320973668236},observed.temp-1
reconstructed,temp-1,temp-1-1758994876208,1758994876.2080085,1758994876.2080085,1758994876.2080085,float,C,20.833320973668236,reconstructed,20.79859926643206,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 20.833320973668236},reconstructed.temp-1
observed,temp-1,temp-1-1758994877188,1758994877.1883812,1758994877.1883812,1758994877.1883812,float,C,24.205040520885394,observed,,,,,observed,SimulatedStream,{'ground_truth': 24.205040520885394},observed.temp-1
reconstructed,temp-1,temp-1-1758994877188,1758994877.1883812,1758994877.1883812,1758994877.1883812,float,C,24.205040520885394,reconstructed,24.08977415783488,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 24.205040520885394},reconstructed.temp-1
observed,temp-1,temp-1-1758994878193,1758994878.1937356,1758994878.1937356,1758994878.1937356,float,C,25.75845595130593,observed,,,,,observed,SimulatedStream,{'ground_truth': 25.75845595130593},observed.temp-1
reconstructed,temp-1,temp-1-1758994878193,1758994878.1937356,1758994878.1937356,1758994878.1937356,float,C,25.75845595130593,reconstructed,25.962632432450366,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 25.75845595130593},reconstructed.temp-1
observed,temp-1,temp-1-1758994879188,1758994879.1883557,1758994879.1883557,1758994879.1883557,float,C,21.10037052898435,observed,,,,,observed,SimulatedStream,{'ground_truth': 21.10037052898435},observed.temp-1
reconstructed,temp-1,temp-1-1758994879188,1758994879.1883557,1758994879.1883557,1758994879.1883557,float,C,21.10037052898435,reconstructed,21.812801042911932,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 21.10037052898435},reconstructed.temp-1
observed,temp-1,temp-1-1758994880181,1758994880.1812882,1758994880.1812882,1758994880.1812882,float,C,17.05347919893062,observed,,,,,observed,SimulatedStream,{'ground_truth': 17.05347919893062},observed.temp-1
reconstructed,temp-1,temp-1-1758994880181,1758994880.1812882,1758994880.1812882,1758994880.1812882,float,C,17.05347919893062,reconstructed,17.08050475415722,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 17.05347919893062},reconstructed.temp-1
