# Logger: CSVLogger | Started: Sun Sep 28 10:40:46 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,__topic__
observed,temp-1,temp-1-1759070442009,1759070442.0090683,1759070442.0090683,1759070442.0090683,float,C,19.28660507241611,observed,,,,,observed,SimulatedStream,{'ground_truth': 19.28660507241611},observed.temp-1
reconstructed,temp-1,temp-1-1759070442009,1759070442.0090683,1759070442.0090683,1759070442.0090683,float,C,19.28660507241611,reconstructed,19.316329861065437,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 19.28660507241611},reconstructed.temp-1
observed,temp-1,temp-1-1759070443012,1759070443.0127964,1759070443.0127964,1759070443.0127964,float,C,21.984582306070415,observed,,,,,observed,SimulatedStream,{'ground_truth': 21.984582306070415},observed.temp-1
reconstructed,temp-1,temp-1-1759070443012,1759070443.0127964,1759070443.0127964,1759070443.0127964,float,C,21.984582306070415,reconstructed,21.853269616387294,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 21.984582306070415},reconstructed.temp-1
observed,temp-1,temp-1-1759070444021,1759070444.0213645,1759070444.0213645,1759070444.0213645,float,C,17.289924481142076,observed,,,,,observed,SimulatedStream,{'ground_truth': 17.289924481142076},observed.temp-1
reconstructed,temp-1,temp-1-1759070444021,1759070444.0213645,1759070444.0213645,1759070444.0213645,float,C,17.289924481142076,reconstructed,17.86724262848593,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 17.289924481142076},reconstructed.temp-1
observed,temp-1,temp-1-1759070445016,1759070445.016857,1759070445.016857,1759070445.016857,float,C,21.179660030345243,observed,,,,,observed,SimulatedStream,{'ground_truth': 21.179660030345243},observed.temp-1
reconstructed,temp-1,temp-1-1759070445016,1759070445.016857,1759070445.016857,1759070445.016857,float,C,21.179660030345243,reconstructed,20.47171530701294,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 21.179660030345243},reconstructed.temp-1
observed,temp-1,temp-1-1759070446015,1759070446.0155032,1759070446.0155032,1759070446.0155032,float,C,22.113386837282256,observed,,,,,observed,SimulatedStream,{'ground_truth': 22.113386837282256},observed.temp-1
reconstructed,temp-1,temp-1-1759070446015,1759070446.0155032,1759070446.0155032,1759070446.0155032,float,C,22.113386837282256,reconstructed,22.084161162580244,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 22.113386837282256},reconstructed.temp-1
observed,temp-1,temp-1-1759070447023,1759070447.0233116,1759070447.0233116,1759070447.0233116,float,C,19.596621076998503,observed,,,,,observed,SimulatedStream,{'ground_truth': 19.596621076998503},observed.temp-1
reconstructed,temp-1,temp-1-1759070447023,1759070447.0233116,1759070447.0233116,1759070447.0233116,float,C,19.596621076998503,reconstructed,20.173546343721213,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 19.596621076998503},reconstructed.temp-1
observed,temp-1,temp-1-1759070448020,1759070448.020919,1759070448.020919,1759070448.020919,float,C,16.498965633539303,observed,,,,,observed,SimulatedStream,{'ground_truth': 16.498965633539303},observed.temp-1
reconstructed,temp-1,temp-1-1759070448020,1759070448.020919,1759070448.020919,1759070448.020919,float,C,16.498965633539303,reconstructed,16.822941746550775,observed,1.0,False,observed,SimulatedStream,{'ground_truth': 16.498965633539303},reconstructed.temp-1
