# Logger: CSVLogger | Started: Sun Sep 28 11:38:21 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras,__topic__
observed,temp-1,temp-1-1759073897725,1759073897.7253895,1759073897.7253895,1759073897.7253895,float,C,18.397441521647334,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 18.397441521647334},observed.temp-1
reconstructed,temp-1,temp-1-1759073897725,1759073897.7253895,1759073897.7253895,1759073897.7253895,float,C,18.397441521647334,reconstructed,18.464214791578694,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 18.397441521647334},reconstructed.temp-1
observed,temp-1,temp-1-1759073898723,1759073898.7234461,1759073898.7234461,1759073898.7234461,float,C,25.90566534848685,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 25.90566534848685},observed.temp-1
reconstructed,temp-1,temp-1-1759073898723,1759073898.7234461,1759073898.7234461,1759073898.7234461,float,C,25.90566534848685,reconstructed,25.551071463052327,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 25.90566534848685},reconstructed.temp-1
observed,temp-1,temp-1-1759073899732,1759073899.732136,1759073899.732136,1759073899.732136,float,C,26.744085709064997,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 26.744085709064997},observed.temp-1
reconstructed,temp-1,temp-1-1759073899732,1759073899.732136,1759073899.732136,1759073899.732136,float,C,26.744085709064997,reconstructed,27.374627202206984,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 26.744085709064997},reconstructed.temp-1
observed,temp-1,temp-1-1759073900723,1759073900.7231007,1759073900.7231007,1759073900.7231007,float,C,22.448462236905208,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 22.448462236905208},observed.temp-1
reconstructed,temp-1,temp-1-1759073900723,1759073900.7231007,1759073900.7231007,1759073900.7231007,float,C,22.448462236905208,reconstructed,23.259920859054205,observed,1.0,False,observed,SimulatedDroppingStream,{'ground_truth': 22.448462236905208},reconstructed.temp-1
observed,temp-1,temp-1-1759073901734,1759073901.7340662,1759073901.7340662,1759073901.7340662,float,C,20.462434544386326,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 20.462434544386326},observed.temp-1
reconstructed,temp-1,temp-1-1759073912721,,1759073912.72682,1759073912.7211905,float,C,18.529846007394177,reconstructed,18.529846007394177,KalmanFilter,0.5553972070807315,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
observed,temp-1,temp-1-1759073902731,1759073902.7318463,1759073902.7318463,1759073902.7318463,float,C,19.462519723162345,observed,,,,,observed,SimulatedDroppingStream,{'ground_truth': 19.462519723162345},observed.temp-1
reconstructed,temp-1,temp-1-1759073913721,,1759073913.7359476,1759073913.7211905,float,C,11.100073061269558,reconstructed,11.100073061269558,KalmanFilter,0.21723260780818252,True,reconstructed,SimulatedDroppingStream,{},reconstructed.temp-1
