# Logger: CSVLogger | Started: Mon Sep 29 15:59:48 2025
partition,stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
unknown,speed-1,speed-1-1759175988136,1759175988.1367393,1759175988.1367393,1759175988.1367393,float,km/h,17.933914572999505,source,,,,,coordinated,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175988129,,1759175988.1367393,1759175988.129493,float,C,90.0,missing,90.0,KalmanFilter,0.17857142857142858,True,reconstructed,SimulatedStream,{}
unknown,speed-1,speed-1-1759175989128,1759175989.1289504,1759175989.1289504,1759175989.1289504,float,km/h,19.07290506453997,source,,,,,coordinated,SimulatedStream,{}
unknown,speed-1,speed-1-1759175988136,1759175988.1367393,1759175988.1367393,1759175988.1367393,float,km/h,17.933914572999505,source,19.270001465791196,observed,0.9125475285171102,False,reconstructed,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175989144,1759175989.1445947,1759175989.1445947,1759175989.1445947,float,C,26.21437200243213,source,,,,,coordinated,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175989144,1759175989.1445947,1759175989.1445947,1759175989.1445947,float,C,26.21437200243213,source,26.90301575949089,observed,0.834835511491663,False,reconstructed,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175990141,1759175990.1410694,1759175990.1410694,1759175990.1410694,float,C,26.155687097536475,source,,,,,coordinated,SimulatedStream,{}
unknown,speed-1,speed-1-1759175989128,1759175989.1289504,1759175989.1289504,1759175989.1289504,float,km/h,19.07290506453997,source,18.118076782527993,observed,0.912507339988256,False,reconstructed,SimulatedStream,{}
unknown,speed-1,speed-1-1759175990141,1759175990.1410694,1759175990.1410694,1759175990.1410694,float,km/h,15.0,source,,,,,coordinated,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175990141,1759175990.1410694,1759175990.1410694,1759175990.1410694,float,C,26.155687097536475,source,24.197022720511637,observed,0.8390323644980353,False,reconstructed,SimulatedStream,{}
unknown,engine-temp-1,engine-temp-1-1759175991136,1759175991.1362166,1759175991.1362166,1759175991.1362166,float,C,25.857647377610114,source,,,,,coordinated,SimulatedStream,{}
unknown,fuel-1,fuel-1-1759175992145,1759175992.1457398,1759175992.1457398,1759175992.1457398,float,%,29.649240249344736,source,29.68779247786466,observed,0.9524058233219136,False,reconstructed,SimulatedStream,{}
