# Logger: PatternLogger | Started: Mon Oct 13 10:45:14 EDT 2025
fired_at,pattern_name,outcome,partition,stream_ids,event_ids,confidences
2025-10-13 10:45:15.927,NormalCruise,complete,source;,speed-1;,speed-1_0;,0.9125475285171102;
2025-10-13 10:45:19.935,EngineOverheat,complete,source;,engine-temp-1;,engine-temp-1_0;,0.8391608391608391;
2025-10-13 10:45:27.945,EngineOverheat,complete,source;,engine-temp-1;,engine-temp-1_1;,0.8390928725701945;
2025-10-13 10:45:35.955,NormalCruise,complete,source;,speed-1;,speed-1_2;,0.9149358044126514;
2025-10-13 10:45:39.961,EngineOverheat,complete,source;,engine-temp-1;,engine-temp-1_2;,0.8432089162405675;
2025-10-13 10:45:43.964,NormalCruise,complete,source;,speed-1;,speed-1_3;,0.9168403179440053;
2025-10-13 10:45:51.980,EngineOverheat,complete,source;,engine-temp-1;,engine-temp-1_3;,0.8464498200336529;
2025-10-13 10:45:55.988,NormalCruise,complete,missing;,speed-1;,speed-1_14;,0.5553972070807315;
2025-10-13 10:45:59.991,NormalCruise,complete,source;,speed-1;,speed-1_4;,0.9113280124395747;
2025-10-13 10:46:03.994,EngineOverheat,complete,source;,engine-temp-1;,engine-temp-1_4;,0.8490474742372355;
