# Logger: CSVLogger | Started: Mon Oct 13 10:46:16 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
engine-temp-1,engine-temp-1_0,1760366776.812598,1760366776.812598,1760366776.812598,float,C,70.0,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_0,1760366776.812598,1760366776.812598,1760366776.812598,float,km/h,29.299825843528783,source,30.162333100048418,observed,0.9125475285171102,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_0,1760366776.812598,1760366776.812598,1760366776.812598,float,km/h,29.299825843528783,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760366776.812598,1760366776.812598,1760366776.812598,float,C,70.0,source,70.83333333333334,observed,0.8391608391608391,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760366777.8119,1760366777.8119,1760366777.8119,float,C,70.0,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,,1760366778.822603,1760366778.8079777,float,C,56.25000000000001,missing,56.25000000000001,KalmanFilter,0.17679558011049723,True,reconstructed,SimulatedStream,{}
speed-1,speed-1_1,1760366777.8119,1760366777.8119,1760366777.8119,float,km/h,28.793609345604214,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_3,,1760366779.8135862,1760366779.8006718,float,km/h,15.068456110954822,missing,15.068456110954822,KalmanFilter,0.3004694835680751,True,reconstructed,SimulatedStream,{}
speed-1,speed-1_2,1760366778.8073962,1760366778.8073962,1760366778.8073962,float,km/h,27.19811265292264,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_1,1760366777.8119,1760366777.8119,1760366777.8119,float,km/h,28.793609345604214,source,28.563927775369617,observed,0.9096641967523261,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760366779.8135862,1760366779.8135862,1760366779.8135862,float,C,70.0,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760366777.8119,1760366777.8119,1760366777.8119,float,C,70.0,source,69.77469670710572,observed,0.8342972816657039,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_4,1760366780.8036127,1760366780.8036127,1760366780.8036127,float,km/h,20.432931770312116,source,,,,,observed,SimulatedStream,{}
fuel-1,fuel-1_0,1760366780.8188295,1760366780.8188295,1760366780.8188295,float,%,50.2644217775931,source,50.29166884821607,observed,0.9524058233219136,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760366780.8188295,1760366780.8188295,1760366780.8188295,float,C,70.0,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_2,1760366778.8073962,1760366778.8073962,1760366778.8073962,float,km/h,27.19811265292264,source,27.636799890676542,observed,0.9162039479227502,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_0,1760366780.8188295,1760366780.8188295,1760366780.8188295,float,%,50.2644217775931,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760366779.8135862,1760366779.8135862,1760366779.8135862,float,C,70.0,source,70.32656950162769,observed,0.8453656443633601,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_5,1760366781.8137257,1760366781.8137257,1760366781.8137257,float,km/h,14.975575903197601,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_11,,1760366787.8061335,1760366787.8006718,float,km/h,29.152918191963668,missing,29.152918191963668,KalmanFilter,0.5260345445373646,True,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_5,1760366781.8137257,1760366781.8137257,1760366781.8137257,float,C,72.90994969634446,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_11,,1760366787.8217404,1760366787.8079777,float,C,73.54038526320822,missing,73.54038526320822,KalmanFilter,0.3568839029353354,True,reconstructed,SimulatedStream,{}
speed-1,speed-1_6,1760366782.8082764,1760366782.8082764,1760366782.8082764,float,km/h,17.907756942181138,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_4,1760366780.8036127,1760366780.8036127,1760366780.8036127,float,km/h,20.432931770312116,source,20.70898550110738,observed,0.9110517011364755,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_6,1760366782.8242764,1760366782.8242764,1760366782.8242764,float,C,73.84654817255009,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760366780.8188295,1760366780.8188295,1760366780.8188295,float,C,70.0,source,70.20496433108958,observed,0.8366344867679116,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_7,1760366783.8022902,1760366783.8022902,1760366783.8022902,float,km/h,11.027014750212661,source,,,,,observed,SimulatedStream,{}
fuel-1,fuel-1_1,1760366785.8237333,1760366785.8237333,1760366785.8237333,float,%,50.13953657471249,source,49.998685335576724,observed,0.9524284724045413,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_7,1760366783.8178756,1760366783.8178756,1760366783.8178756,float,C,72.80138337951962,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_5,1760366781.8137257,1760366781.8137257,1760366781.8137257,float,km/h,14.975575903197601,source,15.21389117493587,observed,0.919721728540093,False,reconstructed,SimulatedStream,{}
