# Logger: PatternLogger | Started: Mon Oct 13 14:37:17 EDT 2025
fired_at,pattern_name,pattern_type,contributing_patterns,num_events,confidence,sources,event_ids
2025-10-13 14:37:19.234,EngineOverheat,atomic,,1,0.8392,source,engine-temp-1_0
2025-10-13 14:37:22.468,EngineOverheat,atomic,,1,0.8336,source,engine-temp-1_1
2025-10-13 14:37:25.380,EngineOverheat,atomic,,1,0.8358,source,engine-temp-1_3
2025-10-13 14:37:29.514,EngineOverheat,atomic,,1,0.8507,source,engine-temp-1_6
2025-10-13 14:37:32.436,EngineOverheat,atomic,,1,0.8507,source,engine-temp-1_7
2025-10-13 14:37:35.358,EngineOverheat,atomic,,1,0.8513,source,engine-temp-1_8
2025-10-13 14:37:39.358,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_9
2025-10-13 14:37:42.491,EngineOverheat,atomic,,1,0.8378,source,engine-temp-1_10
2025-10-13 14:37:45.603,EngineOverheat,atomic,,1,0.8512,source,engine-temp-1_11
2025-10-13 14:37:49.477,EngineOverheat,atomic,,1,0.8376,source,engine-temp-1_12
2025-10-13 14:37:52.492,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_13
2025-10-13 14:37:55.506,EngineOverheat,atomic,,1,0.8508,source,engine-temp-1_14
2025-10-13 14:37:59.679,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_15
2025-10-13 14:38:02.577,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_16
2025-10-13 14:38:05.612,EngineOverheat,atomic,,1,0.8508,source,engine-temp-1_17
2025-10-13 14:38:09.639,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_18
2025-10-13 14:38:13.672,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_19
2025-10-13 14:38:16.826,EngineOverheat,atomic,,1,0.8508,source,engine-temp-1_21
2025-10-13 14:38:20.337,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_22
2025-10-13 14:38:24.428,EngineOverheat,atomic,,1,0.8348,source,engine-temp-1_24
2025-10-13 14:38:27.267,EngineOverheat,atomic,,1,0.8372,source,engine-temp-1_25
2025-10-13 14:38:29.012,Overspeeding,atomic,,1,0.5842,missing,speed-1_71
2025-10-13 14:38:30.430,EngineOverheat,atomic,,1,0.8511,source,engine-temp-1_26
2025-10-13 14:38:30.435,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5842,missing;source,speed-1_71;engine-temp-1_26
2025-10-13 14:38:34.463,EngineOverheat,atomic,,1,0.8507,source,engine-temp-1_27
2025-10-13 14:38:37.548,EngineOverheat,atomic,,1,0.8513,source,engine-temp-1_28
2025-10-13 14:38:40.189,Overspeeding,atomic,,1,0.9114,source,speed-1_34
2025-10-13 14:38:40.416,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_29
2025-10-13 14:38:40.416,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8516,source,speed-1_34;engine-temp-1_29
2025-10-13 14:38:41.945,Overspeeding,atomic,,1,0.5884,missing,speed-1_84
2025-10-13 14:38:44.211,Overspeeding,atomic,,1,0.9117,source,speed-1_35
2025-10-13 14:38:44.438,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_31
2025-10-13 14:38:44.438,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5884,missing;source,speed-1_84;engine-temp-1_31
2025-10-13 14:38:47.226,Overspeeding,atomic,,1,0.9196,source,speed-1_36
2025-10-13 14:38:47.440,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_32
2025-10-13 14:38:47.440,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_36;engine-temp-1_32
2025-10-13 14:38:50.470,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_33
2025-10-13 14:38:54.508,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_34
2025-10-13 14:38:57.574,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_35
2025-10-13 14:39:00.338,Overspeeding,atomic,,1,0.9190,source,speed-1_41
2025-10-13 14:39:00.554,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_36
2025-10-13 14:39:00.554,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_41;engine-temp-1_36
2025-10-13 14:39:03.066,Overspeeding,atomic,,1,0.5667,missing,speed-1_105
2025-10-13 14:39:04.717,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_37
2025-10-13 14:39:04.717,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5667,missing;source,speed-1_105;engine-temp-1_37
2025-10-13 14:39:07.775,EngineOverheat,atomic,,1,0.8348,source,engine-temp-1_38
2025-10-13 14:39:10.727,EngineOverheat,atomic,,1,0.8501,source,engine-temp-1_40
2025-10-13 14:39:14.921,EngineOverheat,atomic,,1,0.8497,source,engine-temp-1_41
2025-10-13 14:39:18.838,EngineOverheat,atomic,,1,0.8378,source,engine-temp-1_42
2025-10-13 14:39:21.791,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_43
2025-10-13 14:39:25.399,EngineOverheat,atomic,,1,0.8507,source,engine-temp-1_44
2025-10-13 14:39:29.161,Overspeeding,atomic,,1,0.9118,source,speed-1_51
2025-10-13 14:39:29.380,EngineOverheat,atomic,,1,0.8514,source,engine-temp-1_45
2025-10-13 14:39:29.381,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8514,source,speed-1_51;engine-temp-1_45
2025-10-13 14:39:32.108,Overspeeding,atomic,,1,0.9198,source,speed-1_52
2025-10-13 14:39:32.325,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_46
2025-10-13 14:39:32.326,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_52;engine-temp-1_46
2025-10-13 14:39:35.052,Overspeeding,atomic,,1,0.5842,missing,speed-1_137
2025-10-13 14:39:35.268,Overspeeding,atomic,,1,0.9116,source,speed-1_53
2025-10-13 14:39:35.485,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_47
2025-10-13 14:39:35.486,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5842,missing;source,speed-1_137;engine-temp-1_47
2025-10-13 14:39:37.014,Overspeeding,atomic,,1,0.5962,missing,speed-1_139
2025-10-13 14:39:39.119,Overspeeding,atomic,,1,0.9117,source,speed-1_54
2025-10-13 14:39:39.334,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_49
2025-10-13 14:39:39.335,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5962,missing;source,speed-1_139;engine-temp-1_49
2025-10-13 14:39:43.365,Overspeeding,atomic,,1,0.9196,source,speed-1_55
2025-10-13 14:39:43.584,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_50
2025-10-13 14:39:43.584,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8379,source,speed-1_55;engine-temp-1_50
2025-10-13 14:39:44.022,Overspeeding,atomic,,1,0.5832,missing,speed-1_146
2025-10-13 14:39:46.211,Overspeeding,atomic,,1,0.9116,source,speed-1_56
2025-10-13 14:39:46.427,EngineOverheat,atomic,,1,0.8516,source,engine-temp-1_51
2025-10-13 14:39:46.427,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5832,missing;source,speed-1_146;engine-temp-1_51
2025-10-13 14:39:50.126,Overspeeding,atomic,,1,0.9198,source,speed-1_58
2025-10-13 14:39:50.345,EngineOverheat,atomic,,1,0.8508,source,engine-temp-1_52
2025-10-13 14:39:50.345,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8508,source,speed-1_58;engine-temp-1_52
2025-10-13 14:39:50.955,Overspeeding,atomic,,1,0.5840,missing,speed-1_153
2025-10-13 14:39:54.054,Overspeeding,atomic,,1,0.9099,source,speed-1_59
2025-10-13 14:39:54.269,EngineOverheat,atomic,,1,0.8514,source,engine-temp-1_53
2025-10-13 14:39:54.270,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5840,missing;source,speed-1_153;engine-temp-1_53
2025-10-13 14:39:55.037,Overspeeding,atomic,,1,0.5744,missing,speed-1_157
2025-10-13 14:39:57.356,Overspeeding,atomic,,1,0.9094,source,speed-1_60
2025-10-13 14:39:57.577,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_54
2025-10-13 14:39:57.578,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5744,missing;source,speed-1_157;engine-temp-1_54
2025-10-13 14:39:58.997,Overspeeding,atomic,,1,0.5342,missing,speed-1_161
2025-10-13 14:40:00.195,Overspeeding,atomic,,1,0.9110,source,speed-1_61
2025-10-13 14:40:00.411,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_55
2025-10-13 14:40:00.412,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5342,missing;source,speed-1_161;engine-temp-1_55
2025-10-13 14:40:04.233,Overspeeding,atomic,,1,0.9195,source,speed-1_62
2025-10-13 14:40:04.454,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_56
2025-10-13 14:40:04.454,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_62;engine-temp-1_56
2025-10-13 14:40:07.189,Overspeeding,atomic,,1,0.9193,source,speed-1_63
2025-10-13 14:40:07.404,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_57
2025-10-13 14:40:07.405,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_63;engine-temp-1_57
2025-10-13 14:40:10.222,Overspeeding,atomic,,1,0.9197,source,speed-1_65
2025-10-13 14:40:10.441,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_58
2025-10-13 14:40:10.441,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_65;engine-temp-1_58
2025-10-13 14:40:14.263,Overspeeding,atomic,,1,0.9199,source,speed-1_66
2025-10-13 14:40:14.481,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_59
2025-10-13 14:40:14.482,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_66;engine-temp-1_59
2025-10-13 14:40:17.283,Overspeeding,atomic,,1,0.9199,source,speed-1_67
2025-10-13 14:40:17.503,EngineOverheat,atomic,,1,0.8517,source,engine-temp-1_61
2025-10-13 14:40:17.503,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8517,source,speed-1_67;engine-temp-1_61
2025-10-13 14:40:19.146,Overspeeding,atomic,,1,0.5971,missing,speed-1_181
2025-10-13 14:40:20.344,Overspeeding,atomic,,1,0.9118,source,speed-1_68
2025-10-13 14:40:20.562,EngineOverheat,atomic,,1,0.8379,source,engine-temp-1_62
2025-10-13 14:40:20.563,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5971,missing;source,speed-1_181;engine-temp-1_62
2025-10-13 14:40:21.109,Overspeeding,atomic,,1,0.5964,missing,speed-1_183
2025-10-13 14:40:24.501,Overspeeding,atomic,,1,0.9117,source,speed-1_69
2025-10-13 14:40:24.718,EngineOverheat,atomic,,1,0.8378,source,engine-temp-1_65
2025-10-13 14:40:24.718,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.5964,missing;source,speed-1_183;engine-temp-1_65
2025-10-13 14:40:27.445,Overspeeding,atomic,,1,0.9197,source,speed-1_70
2025-10-13 14:40:27.666,EngineOverheat,atomic,,1,0.8513,source,engine-temp-1_66
2025-10-13 14:40:27.667,HighSpeedOverheat,complex,Overspeeding;EngineOverheat,2,0.8513,source,speed-1_70;engine-temp-1_66
2025-10-13 14:40:28.101,Overspeeding,atomic,,1,0.5834,missing,speed-1_190
2025-10-13 14:40:30.619,Overspeeding,atomic,,1,0.9116,source,speed-1_72
