# Started Thu Oct 16 13:20:31 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
speed-1,speed-1_0,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,21.797939419717917,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_1,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,15.126634945601058,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_2,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,6.081963897005153,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,C,70.11183838238107,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760635231.1012013,1760635231.1012013,1760635231.1012013,float,C,70.56959348428562,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760635231.1012013,1760635231.1012013,1760635231.1012013,float,C,70.0,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_0,1760635231.1017077,1760635231.1017077,1760635231.1017077,float,%,49.99983406890507,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_1,1760635231.1017077,1760635231.1017077,1760635231.1017077,float,%,49.7513263362789,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_0,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,21.797939419717917,source,33.736957465981476,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_1,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,15.126634945601058,source,22.573057437376242,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_2,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,km/h,6.081963897005153,source,13.08315871721467,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760635231.0997214,1760635231.0997214,1760635231.0997214,float,C,70.11183838238107,source,72.59268691985882,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760635231.1012013,1760635231.1012013,1760635231.1012013,float,C,70.56959348428562,source,71.45810707299988,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760635231.1012013,1760635231.1012013,1760635231.1012013,float,C,70.0,source,70.72831713377063,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_0,1760635231.1017077,1760635231.1017077,1760635231.1017077,float,%,49.99983406890507,source,49.99984901630572,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_1,1760635231.1017077,1760635231.1017077,1760635231.1017077,float,%,49.7513263362789,source,49.87490131250224,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760635231.6627429,1760635231.6627429,1760635231.6627429,float,C,70.0,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760635231.6627429,1760635231.6627429,1760635231.6627429,float,C,70.0,source,70.34901203339629,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_2,1760635231.851087,1760635231.851087,1760635231.851087,float,%,49.51591820659516,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_2,1760635231.851087,1760635231.851087,1760635231.851087,float,%,49.51591820659516,source,49.73951623894839,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_3,1760635232.1029334,1760635232.1029334,1760635232.1029334,float,km/h,10.933132174384069,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_3,1760635232.1029334,1760635232.1029334,1760635232.1029334,float,km/h,10.933132174384069,source,11.130322896863017,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760635232.5559895,1760635232.5559895,1760635232.5559895,float,C,70.0,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760635232.5559895,1760635232.5559895,1760635232.5559895,float,C,70.0,source,70.13937381332549,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_4,1760635233.104453,1760635233.104453,1760635233.104453,float,km/h,16.069637194081196,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_3,1760635233.104453,1760635233.104453,1760635233.104453,float,%,49.45744296825099,source,None,None,None,None,observed,SimulatedStream,{}
