# Logger: PatternLogger | Started: Thu Oct 16 13:20:23 EDT 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,nested_event_ids
2025-10-16 13:20:31.177,7.773,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_0]]
2025-10-16 13:20:31.188,7.784,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_1]]
2025-10-16 13:20:31.190,7.786,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_2]]
2025-10-16 13:20:31.680,8.276,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_3]]
2025-10-16 13:20:32.558,9.154,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_4]]
2025-10-16 13:20:33.467,10.063,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_5]]
2025-10-16 13:20:34.359,10.955,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_6]]
2025-10-16 13:20:35.232,11.828,EngineOverheat,atomic,[EngineOverheat],[0.8854],1,1,0.8854,[[engine-temp-1_7]]
2025-10-16 13:20:36.119,12.715,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_8]]
2025-10-16 13:20:37.010,13.606,EngineOverheat,atomic,[EngineOverheat],[0.8716],1,1,0.8716,[[engine-temp-1_9]]
2025-10-16 13:20:37.892,14.488,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_10]]
2025-10-16 13:20:38.782,15.378,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_11]]
2025-10-16 13:20:39.699,16.295,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[[engine-temp-1_12]]
